Year,Plant State,AER Fuel Code,Net Generation MWh
2004,Entire US,HYC,0.06948037581230279
2004,Entire US,NG,0.1557972808575858
2004,Entire US,COL,0.5092955427241393
2004,Entire US,DFO,0.002638715221413554
2004,Entire US,NUC,0.204506224330055
2004,Entire US,RFO,0.022638196317904036
2004,Entire US,MLG,0.003327681764265446
2004,Entire US,PC,0.00533688005075575
2004,Entire US,SUN,0.00014916746130923885
2004,Entire US,HPS,0.00011598158800077787
2004,Entire US,GEO,0.003534497384296594
2004,Entire US,WOO,0.00038324944101125345
2004,Entire US,ORW,0.0005070111124981367
2004,Entire US,WWW,0.009535503402040782
2004,Entire US,WND,0.0034994848869522284
2004,Entire US,OOG,0.003477691382933266
2004,Entire US,OTH,0.0030467338647956568
2004,Entire US,WOC,0.002729782397738961
2004,AL,HYC,0.07913311353231317
2004,AL,NG,0.10003004446496673
2004,AL,COL,0.5568473772435657
2004,AL,DFO,0.0017736752400518887
2004,AL,NUC,0.23559066599365036
2004,AL,RFO,0.00019516683699345288
2004,AL,MLG,3.8048862722726814e-05
2004,AL,PC,0.0
2004,AL,SUN,0.0
2004,AL,HPS,0.0
2004,AL,GEO,0.0
2004,AL,WOO,0.0
2004,AL,ORW,0.00013231196836038336
2004,AL,WWW,0.02477081475688349
2004,AL,WND,0.0
2004,AL,OOG,0.001354915859464081
2004,AL,OTH,0.0001338652410280117
2004,AL,WOC,0.0
2004,TX,HYC,0.0036090456199159545
2004,TX,NG,0.4446738349917167
2004,TX,COL,0.41313839413151954
2004,TX,DFO,0.0004249267337667079
2004,TX,NUC,0.1122036697078729
2004,TX,RFO,0.00028891537255830544
2004,TX,MLG,0.0006120336508794571
2004,TX,PC,0.0034575860992435642
2004,TX,SUN,0.0
2004,TX,HPS,0.0
2004,TX,GEO,0.0
2004,TX,WOO,1.5049299330670621e-05
2004,TX,ORW,8.662858057651172e-05
2004,TX,WWW,0.0023786829667339767
2004,TX,WND,0.008706741520604586
2004,TX,OOG,0.008630968838368306
2004,TX,OTH,0.0017735224869131535
2004,TX,WOC,0.0
2004,MN,HYC,0.013847843596981602
2004,MN,NG,0.02502057675877843
2004,MN,COL,0.6521286564535251
2004,MN,DFO,0.0013346543485368632
2004,MN,NUC,0.2550096021032831
2004,MN,RFO,0.0008237692229191346
2004,MN,MLG,0.00629623780318319
2004,MN,PC,0.0128391479786723
2004,MN,SUN,0.0
2004,MN,HPS,0.0
2004,MN,GEO,0.0
2004,MN,WOO,0.0
2004,MN,ORW,7.689997917216026e-05
2004,MN,WWW,0.012513150440114787
2004,MN,WND,0.015173993832383681
2004,MN,OOG,0.0
2004,MN,OTH,0.004935467482449853
2004,MN,WOC,0.0
2004,CA,HYC,0.18828546247226174
2004,CA,NG,0.48084446341299464
2004,CA,COL,0.012345949693685633
2004,CA,DFO,0.0005638815124321807
2004,CA,NUC,0.1669874069172107
2004,CA,RFO,9.34035454459873e-06
2004,CA,MLG,0.00863412603402883
2004,CA,PC,0.011535457227353642
2004,CA,SUN,0.0031495902153647667
2004,CA,HPS,3.29143183885971e-05
2004,CA,GEO,0.0663529156312931
2004,CA,WOO,0.0002267347787813763
2004,CA,ORW,0.0031351739943264027
2004,CA,WWW,0.021112974920347027
2004,CA,WND,0.023663754391445555
2004,CA,OOG,0.010755458773667329
2004,CA,OTH,0.0023643953518726474
2004,CA,WOC,0.0
2004,LA,HYC,0.01186458885940431
2004,LA,NG,0.4491534338993235
2004,LA,COL,0.2554457772826514
2004,LA,DFO,0.0011595892916754006
2004,LA,NUC,0.1844214977739288
2004,LA,RFO,0.02076955241778618
2004,LA,MLG,0.0
2004,LA,PC,0.02021699726702085
2004,LA,SUN,0.0
2004,LA,HPS,0.0
2004,LA,GEO,0.0
2004,LA,WOO,0.0
2004,LA,ORW,0.0008267806434546673
2004,LA,WWW,0.028317296238471817
2004,LA,WND,0.0
2004,LA,OOG,0.02463784074643821
2004,LA,OTH,0.003186645579844204
2004,LA,WOC,0.0
2004,KY,HYC,0.03999001075792023
2004,KY,NG,0.006138539289766898
2004,KY,COL,0.9110350158209775
2004,KY,DFO,0.0012761819672774848
2004,KY,NUC,0.0
2004,KY,RFO,0.0
2004,KY,MLG,0.0006032874045765692
2004,KY,PC,0.037030000234819144
2004,KY,SUN,0.0
2004,KY,HPS,0.0
2004,KY,GEO,0.0
2004,KY,WOO,0.0
2004,KY,ORW,5.151807714980257e-05
2004,KY,WWW,0.0036931876324461594
2004,KY,WND,0.0
2004,KY,OOG,1.7994210019602377e-05
2004,KY,OTH,0.00016426460504667003
2004,KY,WOC,0.0
2004,NE,HYC,0.009355951264387596
2004,NE,NG,0.009326892884240911
2004,NE,COL,0.6518142903665218
2004,NE,DFO,0.0006747871340511615
2004,NE,NUC,0.3263121630764925
2004,NE,RFO,2.7752127697542974e-05
2004,NE,MLG,0.0008519719292678742
2004,NE,PC,0.0
2004,NE,SUN,0.0
2004,NE,HPS,0.0
2004,NE,GEO,0.0
2004,NE,WOO,0.0
2004,NE,ORW,0.00040715796839986307
2004,NE,WWW,0.0
2004,NE,WND,0.0012245087710635817
2004,NE,OOG,4.52447787710977e-06
2004,NE,OTH,0.0
2004,NE,WOC,0.0
2004,AK,HYC,0.24765606800975815
2004,AK,NG,0.519853492756889
2004,AK,COL,0.10729079666631601
2004,AK,DFO,0.060036794426893934
2004,AK,NUC,0.0
2004,AK,RFO,0.06009646359689925
2004,AK,MLG,0.0
2004,AK,PC,0.0
2004,AK,SUN,0.0
2004,AK,HPS,0.0
2004,AK,GEO,0.0
2004,AK,WOO,0.0035426909183434723
2004,AK,ORW,0.0014594656585888214
2004,AK,WWW,6.422796631116283e-05
2004,AK,WND,0.0
2004,AK,OOG,0.0
2004,AK,OTH,0.0
2004,AK,WOC,0.0
2004,NM,HYC,0.004218139405164819
2004,NM,NG,0.09085129250395203
2004,NM,COL,0.888390551556357
2004,NM,DFO,0.0009522968477241739
2004,NM,NUC,0.0
2004,NM,RFO,0.0
2004,NM,MLG,0.0
2004,NM,PC,0.0
2004,NM,SUN,0.0
2004,NM,HPS,0.0
2004,NM,GEO,0.0
