UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVICE AREA,REGULATORY STATUS
7,10867,Tate & Lyle Decatur Plant Cogen,Macon,IL,62525,Municipality,SERC,311,Illinois Power Co,NR
8,50903,Sagamore Plant Cogeneration,Tippecanoe,IN,47904,Wells,RFC,311,PSI Energy Inc,NR
20,55454,AES Cypress LLC,Mississippi,AR,72426,Municipal/Demineralized,SERC,22,Entergy Arkansas Inc,NR
21,10671,AES Shady Point,Leflore,OK,74951,Poteau River,SPP,22,Oklahoma Gas & Electric Co,NR
23,54750,A B Energy,Kern,CA,93561,,WECC,22,Southern California Edison Co,NR
25,2527,AES Greenidge LLC,Yates,NY,14441,Seneca Lake,NPCC,22,New York State Elec & Gas Corp,NR
34,3305,Rocky River,Abbeville,SC,29655,Lake Secession,SERC,22,,RE
35,10678,AES Warrior Run Cogeneration Facility,Allegany,MD,21502,City Of Cumberland Water Suppl,RFC,22,The Potomac Edison Co,NR
39,2529,AES Hickling LLC,Steuben,NY,14830,Chemung River,NPCC,22,New York State Elec & Gas Corp,NR
40,55788,Hospira Inc.,Erie,NY,14225,,NPCC,325211,New York State Elec & Gas Corp,NR
42,10675,AES Thames,New London,CT,6382,Thames River,NPCC,22,Connecticut Light & Power Co,NR
46,55631,AES Hoytdale LLC,Beaver,PA,16157,Beaver River,,22,Pennsylvania Power Co,NR
52,10002,ACE Cogeneration Facility,San Bernardino,CA,93562,Wells,WECC,22,Southern California Edison Co,NR
56,50805,Abitibi Consolidated Snowflake,Navajo,AZ,85937,Wells,WECC,322122,Arizona Public Service Co,NR
56,56616,Snowflake White Mountain Power LLC,Navajo,AZ,85937,Wells,WECC,22,Arizona Public Service Co,
60,55636,St Joseph County Generating Facility,St Joseph,IN,46552,,,22,American Electric Power Co Inc,NR
65,50249,Abitibi Consolidated Lufkin,Angelina,TX,75902,Wells,ERCOT,322122,TXU Electric Delivery Company,NR
82,10819,Ada Cogeneration LP,Kent,MI,49355,City Water,MRO,22,Consumers Energy Company,NR
84,6390,Tangier,Accomack,VA,23440,Wells,RFC,22,,RE
84,6391,Smith Island,Somerset,MD,21824,Wells,RFC,22,,RE
88,55170,Granite Ridge,Rockingham,NH,3053,Manchester Wastewater Treatmen,NPCC,22,Public Service Co of NH,NR
109,10223,AG Processing Inc,Wright,IA,50533,Well,MRO,311,MidAmerican Energy Co,NR
114,55459,Addis Energy Center,West Baton Rouge,LA,70710,Mississippi River,SERC,325,Entergy Louisiana Inc,NR
135,10593,Agrilectric Power Partners Ltd,Calcasieu,LA,70615,Rainwater Cooling,SERC,22,Entergy Gulf States Inc,NR
142,10676,AES Beaver Valley Partners Beaver Valley,Beaver,PA,15061,Nova Chemical Co,RFC,22,Duquesne Light Co,NR
150,1956,Adrian,Nobles,MN,56110,N/A,MRO,22,,RE
156,10670,AES Deepwater,Harris,TX,77506,River,ERCOT,22,"CenterPoint Energy Houston Electric, LLC",NR
163,52093,Oxford Cogeneration Facility,Kern,CA,93224,N/A,WECC,211,Pacific Gas & Electric Co,NR
164,50752,South Belridge Cogeneration Facility,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,NR
164,52077,Lost Hills Cogeneration Plant,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,NR
164,55185,Aera South Belridge Cogen Facility,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,NR
174,1957,Aitkin,Aitkin,MN,56431,Municipality,MRO,22,,RE
177,10673,AES Hawaii,Oahu,HI,96707,Wells,HICC,22,Hawaiian Electric Co Inc,NR
178,10677,AES Placerita,Los Angeles,CA,91321,Underground water well,WECC,22,Southern California Edison Co,NR
179,54452,Agrium Kenai Nitrogen Operations,Kenai Peninsula,AK,99611,Wells,ASCC,325311,Homer Electric Assn Inc,NR
189,53,Gantt,Covington,AL,36421,Conecuh River,SERC,22,,RE
189,55,Point A,Covington,AL,36421,Conecuh River,SERC,22,,RE
189,56,Charles R Lowman,Washington,AL,36548,Tombigbee River,SERC,22,,RE
189,533,McWilliams,Covington,AL,36421,Conecuh River,SERC,22,,RE
189,6192,Portland,Walton,FL,32542,,SERC,22,,RE
189,7063,McIntosh,Washington,AL,36553,,SERC,22,,RE
194,10339,Southside Water Reclamation Plant,Bernalillo,NM,87105,,WECC,22,Public Service Co of NM,NR
195,2,Bankhead Dam,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,,RE
195,3,Barry,Mobile,AL,36512,Mobile River,SERC,22,,RE
195,4,Walter Bouldin Dam,Elmore,AL,36092,Coosa River,SERC,22,,RE
195,7,Gadsden,Etowah,AL,35903,Coosa River,SERC,22,,RE
195,8,Gorgas,Walker,AL,35580,Warrior River,SERC,22,,RE
195,10,Greene County,Greene,AL,36732,Warrior River,SERC,22,,RE
195,11,H Neely Henry Dam,Calhoun,AL,36271,Coosa River,SERC,22,,RE
195,12,Holt Dam,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,,RE
195,13,Jordan Dam,Elmore,AL,36092,Coosa River,SERC,22,,RE
195,14,Logan Martin Dam,Talladega,AL,35178,Coosa River,SERC,22,,RE
195,15,Lay Dam,Chilton,AL,35045,Coosa River,SERC,22,,RE
195,16,Martin Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,,RE
195,17,Mitchell Dam,Coosa,AL,36091,Coosa River,SERC,22,,RE
195,18,Lewis Smith Dam,Walker,AL,35501,Sipsey Fork Black Warrior Rive,SERC,22,,RE
195,19,Thurlow Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,,RE
195,20,Weiss Dam,Cherokee,AL,35983,Coosa River,SERC,22,,RE
195,21,Yates Dam,Elmore,AL,36078,Tallapoosa River,SERC,22,,RE
195,26,E C Gaston,Shelby,AL,35186,Coosa River,SERC,22,,RE
195,6001,Joseph M Farley,Houston,AL,36319,Chattahoochee River,SERC,22,,RE
195,6002,James H Miller Jr,Jefferson,AL,35073,Warrior River,SERC,22,,RE
195,6188,Harris Dam,Randolph,AL,36266,Tallapoosa River,SERC,22,,RE
195,7697,Washington County Cogeneration Facility,Washington,AL,36553,City Water,SERC,22,,RE
195,7698,General Electric Plastic,Lowndes,AL,36752,City Water,SERC,22,,RE
195,7708,APC1,,AL,0,,SERC,22,,RE
195,7721,Theodore Cogen Facility,Mobile,AL,36582,River,SERC,22,,RE
195,7876,APC2,,AL,,,SERC,22,,RE
195,7877,APC3,,AL,,,SERC,22,,RE
197,54265,Akron Recycle Energy Plant,Summit,OH,44307,Municipality,RFC,622,Ohio Edison Co,NR
204,54429,Alabama Pine Pulp,Monroe,AL,36470,Alabama River,SERC,322,Alabama Power Co,NR
213,62,Annex Creek,Juneau,AK,99801,Annex Creek Lake,ASCC,22,,RE
213,63,Gold Creek,Juneau,AK,99801,Gold Creek,ASCC,22,,RE
213,64,Lemon Creek,Juneau,AK,99801,,ASCC,22,,RE
213,65,Salmon Creek 1,Juneau,AK,99801,Salmon Creek Reservoir,ASCC,22,,RE
213,78,Snettisham,Juneau,AK,99801,Long Lake And Crater Lake,ASCC,22,,RE
213,7250,Auke Bay,Juneau,AK,99801,N/A,ASCC,22,,RE
219,66,Skagway,Skagway-Yakutat,AK,99840,Dewey Lake,ASCC,22,,RE
219,69,Haines,Haines,AK,99927,,ASCC,22,,RE
219,406,Tok,Southeast Fairbanks,AK,99780,Well,ASCC,22,,RE
219,421,Craig,Prince of Wales,AK,99921,Municipality,ASCC,22,,RE
219,423,Hydaburg,Prince of Wales,AK,99922,,ASCC,22,,RE
219,7169,Northway,Southeast Fairbanks,AK,99764,Well,ASCC,22,,RE
219,7414,Thorne Bay Plant,Prince of Wales,AK,99919,N/A,ASCC,22,,RE
219,7751,Goat Lake Hydro,Skagway-Yakutat,AK,99840,Goat Lake,ASCC,22,,RE
219,7752,Black Bear Lake,Prince of Wales,AK,99921,Black Bear Lake,ASCC,22,,RE
219,56146,False Island,Prince of Wales,AK,99919,,ASCC,22,,RE
219,56147,Viking,Prince of Wales,AK,99921,,ASCC,22,,RE
219,56265,South Fork,Prince of Wales,AK,99925,South Fork Black Bear Creek,ASCC,22,,RE
219,56542,Kasidaya Creek Hydro,,AK,99840,Kawidaya Creek,ASCC,22,,RE
221,6311,Chevak,Bethel,AK,99563,N/A,ASCC,22,,RE
221,6314,Emmonak,Bethel,AK,99581,N/A,ASCC,22,,RE
221,6319,Hooper Bay,Bethel,AK,99604,N/A,ASCC,22,,RE
221,6323,Kiana,Kobuk,AK,99749,N/A,ASCC,22,,RE
221,6329,Mountain Village,Bethel,AK,99632,N/A,ASCC,22,,RE
221,6330,Noorvik,Kobuk,AK,99763,N/A,ASCC,22,,RE
221,6333,Nunapitchuk,Bethel,AK,99641,N/A,ASCC,22,,RE
221,6338,St Marys,Bethel,AK,99658,N/A,ASCC,22,,RE
221,6341,Selawik,Kobuk,AK,99770,N/A,ASCC,22,,RE
221,6345,Shishmaref,Nome,AK,99772,N/A,ASCC,22,,RE
221,6348,Togiak,Dillingham,AK,99678,N/A,ASCC,22,,RE
228,2113,Albany,Gentry,MO,64402,N/A,SERC,22,,RE
252,52071,Sandow Station,Milam,TX,76567,Alcoa Lake Treatment System,ERCOT,331312,TXU Electric Delivery Company,NR
257,55676,AES Columbia Power Project,Walla Walla,WA,99363,,WECC,22,PacifiCorp,NR
261,6705,Warrick,Warrick,IN,47630,Ohio River,RFC,22,Southern Indiana Gas & Elec Co,NR
291,10567,Algonquin Windsor Locks,Hartford,CT,6096,Windsor Locks Canal,NPCC,22,Connecticut Light & Power Co,NR
295,1958,Alexandria,Douglas,MN,56308,Lake Winona,MRO,22,,RE
298,6558,D G Hunter,Rapides,LA,71301,Municipality,SPP,22,,RE
306,54898,Santeetlah,Graham,NC,28771,Cheoah River,SERC,331312,Tennessee Valley Authority,NR
306,54899,Cheoah,Graham,NC,28780,Little Tennessee River,SERC,331312,Tennessee Valley Authority,NR
306,54900,Calderwood,Blount,TN,37801,Little Tennessee River,SERC,331312,Tennessee Valley Authority,NR
306,54901,Chilhowee,Blount,TN,37801,Little Tennessee River,SERC,331312,Tennessee Valley Authority,NR
309,1120,Algona,Kossuth,IA,50511,Wells,MRO,22,,RE
309,7966,Iowa Distributed Wind Generation Project,Kossuth,IA,50511,NA,MRO,22,,RE
311,54572,Lochmere Hydroelectric Plant,Belknap,NH,3220,Winnipesaukee River,NPCC,22,Public Service Co of NH,NR
313,55139,"Wolf Hollow I, L.P.",Hood,TX,76048,Lake Granbury,ERCOT,22,Brazos Electric Power Coop Inc,NR
317,54894,Narrows,Stanly,NC,28009,Yadkin River,SERC,22,Duke Energy Corporation,NR
317,54895,Falls,Stanly,NC,28009,Yadkin River,SERC,22,Duke Energy Corporation,NR
317,54896,High Rock,Davidson,NC,28239,Yadkin River,SERC,22,Duke Energy Corporation,NR
317,54897,Tuckertown,Montgomery,NC,28127,Yadkin River,SERC,22,Progress Energy Carolinas Inc,NR
326,54391,Alice Falls Hydro Project,Clinton,NY,12944,Ausable River,NPCC,22,New York State Elec & Gas Corp,NR
327,10298,Bayou Cogen Plant,Harris,TX,77507,Coastal Water Authority,ERCOT,325,"CenterPoint Energy Houston Electric, LLC",NR
332,7128,William F Matson Generating Station,Juniata,PA,16652,Raystown Branch Juniata River,RFC,22,,RE
335,54748,Port Neches Plant,Jefferson,TX,77651,Ind Gas Manure,SERC,325,Entergy Gulf States Inc,NR
349,10216,Alabama River Pulp,Monroe,AL,36470,Alabama River,SERC,322,Alabama Power Co,NR
353,10640,Stockton Cogen,San Joaquin,CA,95206,Well,WECC,22,Pacific Gas & Electric Co,NR
358,54612,Amalgamated Sugar LLC Nyssa,Malheur,OR,97913,Process,WECC,311,Idaho Power Co,NR
361,54710,Alliant SBD 9205 A Y McDonald,Dubuque,IA,52002,,MRO,22,Interstate Power and Light Co,NR
361,54712,Alliant SBD 9201 Norplex,Allamakee,IA,52162,,MRO,22,Interstate Power and Light Co,NR
361,54713,Alliant SBD 8603 Donnelley,Story,IA,50201,,MRO,22,Interstate Power and Light Co,NR
361,54714,Alliant SBD 8501 Aegon USA,Linn,IA,52499,,MRO,22,Interstate Power and Light Co,NR
361,54715,Alliant SBD 9107 Swift,Marshall,IA,50158,,MRO,22,Interstate Power and Light Co,NR
361,54716,Alliant SBD 8602 Marion Sub,Linn,IA,52405,,MRO,22,Interstate Power and Light Co,NR
361,54717,Alliant SBD 9106 Rockwell CR,Linn,IA,52498,,MRO,22,Interstate Power and Light Co,NR
361,54718,Alliant SBD 9206 Donaldson,Howard,IA,52136,,MRO,22,Interstate Power and Light Co,NR
361,54719,Alliant SBD 9203 Profol,Linn,IA,52404,,MRO,22,Interstate Power and Light Co,NR
361,54720,Alliant SBD 8601 ACG,Iowa,IA,52301,,MRO,22,Interstate Power and Light Co,NR
361,54735,Alliant SBD 9301 Swiss,Dubuque,IA,52001,,MRO,22,Interstate Power and Light Co,NR
361,54929,Alliant SBD 9403 Aegon DC,Linn,IA,52402,,MRO,22,Interstate Power and Light Co,NR
361,54930,Alliant SBD 9402 Climax,Lee,IA,52627,,MRO,22,Interstate Power and Light Co,NR
361,54967,Alliant SBD 9302 Aegon NP,Linn,IA,52499,,MRO,22,Interstate Power and Light Co,NR
361,54968,Alliant SBD 9502 Eaton,Wright,IA,50421,,MRO,22,Interstate Power and Light Co,NR
361,55315,Alliant SBD 9702 Cedar Graphics,Linn,IA,52233,,MRO,22,Interstate Power and Light Co,NR
361,55316,Alliant SBD 9805 Rockford Products,Winnebago,IL,61104,,RFC,22,Commonwealth Edison Co,NR
361,55996,Alliant SBD0201 Penford Produc,Linn,IA,52405,,MRO,22,Commonwealth Electric Co,NR
361,56072,Alliant SBD 9801 Aegon Martha's Way,Linn,IA,52406,,MRO,22,Interstate Power and Light Co,NR
361,56073,Alliant SBG 9802 Toyota,Linn,IA,52411,,MRO,22,Linn County Rural E C A,NR
361,56074,Alliant SBD 9901 GE Capital,Linn,IA,52404,,MRO,22,Interstate Power and Light Co,NR
379,10569,Big Spring Texas Refinery,Howard,TX,79720,Cooling Tower,ERCOT,32411,TXU Electric Delivery Company,NR
402,10581,Altamont Power LLC,Alameda,CA,94550,,WECC,22,Pacific Gas & Electric Co,NR
404,10406,Alsip Paper Condominium Association,Cook,IL,60658,,RFC,322122,Commonwealth Edison Co,NR
405,1121,Alta Municipal Utilities,Buena Vista,IA,51002,,MRO,22,,RE
406,7990,Altamont,Effingham,IL,62411,Municipal Water System,SERC,22,,RE
429,52122,Wasson CO2 Removal Plant,Yoakum,TX,79323,Wells,SPP,211,Southwestern Public Service Co,NR
431,54222,Alyeska Seafoods,Aleutian Islands,AK,99685,N/A,ASCC,114,Unalaska City of,NR
450,10504,Amalgamated Sugar Twin Falls,Twin Falls,ID,83301,Rock Creek,WECC,311,Idaho Power Co,NR
463,10549,Al Turi,Orange,NY,10924,,NPCC,22,Orange & Rockland Utils Inc,NR
470,50472,American Ref-Fuel of Niagara,Niagara,NY,14304,Niagara River & Municipality,NPCC,22,Niagara Mohawk Power Corp,NR
472,50964,Amedee Geothermal Venture I,Lassen,CA,96127,Well,WECC,22,Lassen Municipal Utility District,NR
473,10642,Covanta Hempstead,Nassau,NY,11590,Wells And Municipal,NPCC,22,Long Island Power Authority,NR
491,54210,American Crystal Sugar Hillsboro,Traill,ND,58045,N/A,MRO,311,Nodak Electric Coop Inc,NR
491,54211,American Crystal Sugar Moorhead,Clay,MN,56560,N/A,MRO,311,Moorhead City of,NR
491,54212,American Crystal Sugar Crookston,Polk,MN,56716,N/A,MRO,311,Otter Tail Power Co,NR
491,54213,American Crystal Sugar Drayton,Pembina,ND,58225,N/A,MRO,311,Nodak Electric Coop Inc,NR
491,54214,American Crystal Sugar East Grand Forks,Polk,MN,56721,N/A,MRO,311,East Grand Forks City of,NR
498,55458,Bloomfield Energy Farm,San Juan,NM,87413,N/A,WECC,22,City of Farmington,NR
503,10152,Warrior Ridge Hydro,Huntingdon,PA,16669,Juniata River,RFC,22,Pennsylvania Electric Co,NR
509,55337,AES Ironwood LLC,Lebanon,PA,17042,Quarry-DRBC,RFC,22,Metropolitan Edison Co,NR
520,861,Coffeen,Montgomery,IL,62017,Mcdavid Branch,SERC,22,Central Illinois Pub Serv Co,NR
520,862,Grand Tower,Jackson,IL,62942,Mississippi River,SERC,22,Central Illinois Pub Serv Co,NR
520,863,Hutsonville,Crawford,IL,62433,Wabash River,SERC,22,Central Illinois Pub Serv Co,NR
520,864,Meredosia,Morgan,IL,62665,Illinois River,SERC,22,Central Illinois Pub Serv Co,NR
520,6017,Newton,Jasper,IL,62448,Laws Creek,SERC,22,Central Illinois Pub Serv Co,NR
520,55201,Gibson City,Ford,IL,60936,,SERC,22,Central Illinois Pub Serv Co,NR
520,55438,Elgin Energy Center,Kane,IL,60120,,RFC,22,Commonwealth Edison Co,NR
520,55447,Columbia Energy Center,Boone,MO,65202,,SERC,22,Columbia City of,NR
528,10646,American Ref-Fuel of SE CT,New London,CT,6365,Norwich Utilities,NPCC,22,Connecticut Light & Power Co,NR
542,10643,American Ref-Fuel of Essex,Essex,NJ,7105,Air Cooled Condensor,RFC,22,Public Service Elec & Gas Co,NR
547,54512,Domino Sugar Arabi Plant,St Bernard,LA,70032,Mississippi River,SERC,311,Entergy Louisiana Inc,NR
554,1122,Ames Electric Services Power Plant,Story,IA,50010,Well,MRO,22,,RE
554,6463,Ames GT,Story,IA,50010,Municipality,MRO,22,,RE
563,10151,Grant Town Power Plant,Marion,WV,26574,Monongahela River,RFC,22,Monongahela Power Co,NR
570,10746,American Ref-Fuel of Delaware Valley,Delaware,PA,19013,Municipality,RFC,22,PECO Energy Co,NR
590,7693,Anaheim GT,Orange,CA,92805,City ground water and MWD,WECC,22,,RE
599,75,Anchorage 1,Anchorage,AK,99501,N/A,ASCC,22,,RE
599,77,Eklutna Hydro Project,Matanuska-Susitna,AK,99645,Eklutna Lake,ASCC,22,,RE
599,6559,George M Sullivan Generation Plant 2,Anchorage,AK,99504,Municipality,ASCC,22,,RE
623,10430,Anheuser Busch St Louis,St Louis City,MO,63118,Municipality,SERC,311,Union Electric Co,NR
623,10431,Anheuser Busch Jacksonville,Duval,FL,32218,Municipality,FRCC,311,Jacksonville Electric Authority,NR
623,54913,Anheuser Busch Newark Brewery,Essex,NJ,7101,Municipality,RFC,311,Public Service Elec & Gas Co,NR
641,55211,ANP Bellingham Energy Project,Norfolk,MA,2019,Municipal/Air Cooled Condenser,NPCC,22,National Grid,NR
656,55212,ANP Blackstone Energy Project,Worcester,MA,1504,Air Cool Condensers,NPCC,22,National Grid,NR
666,50253,Abitibi Consolidated Sheldon,Harris,TX,77049,Lake Houston,ERCOT,322122,"CenterPoint Energy Houston Electric, LLC",NR
682,1123,Anita,Cass,IA,50020,,MRO,22,,RE
695,2214,Ansley,Custer,NE,68814,Municipality,MRO,22,,RE
701,1258,Anthony,Harper,KS,67003,Wells,SPP,22,,RE
733,3772,Buck,Carroll,VA,24350,New River,RFC,22,,RE
733,3773,Byllesby 2,Carroll,VA,24350,New River,RFC,22,,RE
733,3774,Claytor,Pulaski,VA,24141,New River,RFC,22,,RE
733,3775,Clinch River,Russell,VA,24225,Clinch River,RFC,22,,RE
733,3776,Glen Lyn,Giles,VA,24093,New River,RFC,22,,RE
733,3777,Leesville,Campbell,VA,24563,Roanoke River,RFC,22,,RE
733,3778,Niagara,Roanoke,VA,24179,Roanoke River,RFC,22,,RE
733,3779,Reusens,Campbell,VA,24501,James River,RFC,22,,RE
733,3780,Smith Mountain,Franklin,VA,24141,Roanoke River,RFC,22,,RE
733,3935,John E Amos,Putnam,WV,25213,Kanawha River,RFC,22,,RE
733,3936,Kanawha River,Kanawha,WV,25086,Kanawha River,RFC,22,,RE
733,3938,Philip Sporn,Mason,WV,25265,Ohio River,RFC,22,,RE
733,6264,Mountaineer,Mason,WV,25265,Ohio River,RFC,22,,RE
733,6560,London,Kanawha,WV,25126,Kanawha River,RFC,22,,RE
733,6561,Marmet,Kanawha,WV,25315,Kanawha River,RFC,22,,RE
733,6562,Winfield,Kanawha,WV,25213,Kanawha River,RFC,22,,RE
733,55276,Ceredo Generating Station,Wayne,WV,25704,City Of Kenora,RFC,22,,RE
739,55091,Midlothian Energy Facility,Ellis,TX,76065,None (Air Cooled),ERCOT,22,TXU Electric Delivery Company,NR
745,10810,NTC/MCRD Energy Facility,San Diego,CA,92140,City Of San Diego,WECC,22,San Diego Gas & Electric Co,NR
745,10811,Naval Station Energy Facility,San Diego,CA,92136,Navy Pwc,WECC,22,San Diego Gas & Electric Co,NR
745,10812,North Island Energy Facility,San Diego,CA,92118,Navy Pwc,WECC,22,San Diego Gas & Electric Co,NR
753,55877,Aquila Muskingum Energy Center,Muskingum,OH,43830,,,22,Columbus Southern Power Co,NR
756,10155,Brasfield,Appomattox,VA,23803,Appomattox River,SERC,22,Virginia Electric & Power Co,NR
761,55826,Aries II Energy Center,Cass,MO,64080,Municipal,SPP,22,Central Illinois Pub Serv Co,NR
765,4100,Arcadia Electric,Trempealeau,WI,54612,Municipality,MRO,22,,RE
768,2902,Arcanum,Darke,OH,45304,Municipality,RFC,22,,RE
770,460,Pueblo,Pueblo,CO,81003,Arkansas River,WECC,22,,RE
770,462,W N Clark,Fremont,CO,81212,Arkansas River,WECC,22,,RE
770,1230,Cimarron River,Seward,KS,67901,Wells,SPP,22,,RE
770,1233,Judson Large,Ford,KS,67801,Wells,SPP,22,,RE
770,1235,Arthur Mullergren,Barton,KS,67530,Wells,SPP,22,,RE
770,2090,Nevada,Vernon,MO,64772,,SPP,22,,RE
770,2092,Ralph Green,Cass,MO,64080,,SPP,22,,RE
770,2094,Sibley,Jackson,MO,64088,Missouri River,SPP,22,,RE
770,2098,Lake Road,Buchanan,MO,64504,Cooling Towers,SPP,22,,RE
770,6074,Greenwood,Jackson,MO,64034,,SPP,22,,RE
770,6144,Kansas City International,Platte,MO,64079,,SPP,22,,RE
770,6516,Rocky Ford,Otero,CO,81067,Wells,WECC,22,,RE
770,7995,Airport Industrial,Pueblo,CO,81001,,WECC,22,,RE
770,8037,Clifton,Washington,KS,66937,Wells,SPP,22,,RE
770,56151,South Harper,Cass,MO,64701,PWSD #9,SPP,22,,RE
772,10857,Archer Daniels Midland Fredonia,Wilson,KS,66736,Municipal,SPP,311,Fredonia City of,NR
772,10859,Valdosta,Lowndes,GA,31601,Municipal,SERC,311,Georgia Power Co,NR
772,10860,Archer Daniels Midland Clinton,Clinton,IA,52732,Mississippi River,MRO,311,Interstate Power and Light Co,NR
772,10861,Archer Daniels Midland Des Moines,Polk,IA,50316,Municipal,MRO,311,MidAmerican Energy Co,NR
772,10862,Archer Daniels Midland Lincoln,Lancaster,NE,68507,Municipal,MRO,311,Lincoln Electric System,NR
772,10863,Archer Daniels Midland Mankato,Blue Earth,MN,56001,Municipal,MRO,311,Northern States Power Co,NR
772,10864,Archer Daniels Midland Cedar Rapids,Linn,IA,52406,Municipal,MRO,311,Interstate Power and Light Co,NR
772,10865,Archer Daniels Midland Decatur,Macon,IL,62521,Sangamon River/Lake Decatur,SERC,311,Illinois Power Co,NR
772,10866,Archer Daniels Midland Peoria,Peoria,IL,61602,Illinois River,SERC,311,Central Illinois Light Co,NR
772,54310,Galesburg,Knox,IL,61401,Municipal,SERC,311,Illinois Power Co,NR
772,54311,Archer Daniels Midland Little Rock,Pulaski,AR,72203,Municipal,SERC,311,Entergy Arkansas Inc,NR
772,54312,Archer Daniels Midland Taylorville,Christian,IL,62568,Municipal,SERC,311,Central Illinois Pub Serv Co,NR
772,54316,Archer Daniels Midland Southport,Brunswick,NC,28461,Municipal,SERC,311,Progress Energy Carolinas Inc,NR
772,54908,Enderlin,Ransom,ND,58027,Municipality,MRO,311,Otter Tail Power Co,NR
772,55046,Mansfield,Plymouth,MA,2048,Municipal,NPCC,311,Mansfield Town of,NR
772,55638,Walhalla,Pembina,ND,58282,Municipal,MRO,311,Nodak Electric Coop Inc,NR
779,10053,Aroostook & Bangor Resources,Penobscot,ME,4459,Wells,NPCC,321,Bangor Hydro-Electric Co,NR
782,10787,Piedmont Hydro Power Project,Greenville,SC,29673,Saluda River,SERC,22,Duke Energy Corporation,NR
782,10798,Fries Hydroelectric Project,Grayson,VA,24330,New River,RFC,22,Appalachian Power Co,NR
782,10801,Ware Shoals Hydro Project,Laurens,SC,29692,Saluda River,SERC,22,Duke Energy Corporation,NR
792,7810,Argyle,Lafayette,WI,53504,Pecatonica River,MRO,22,,RE
794,54390,Kamaoa Wind Farm,Hawaii,HI,96772,,HICC,22,Hawaii Electric Light Co Inc,NR
794,56378,Pakini Nui Wind Farm,Hawaii,HI,96772,,HICC,22,Hawaii Electric Light Co Inc,NR
796,160,Apache Station,Cochise,AZ,85606,Wells,WECC,22,,RE
803,112,Childs,Yavapai,AZ,85544,Fossil Creek/Natural Spring,WECC,22,,RE
803,113,Cholla,Navajo,AZ,86032,Lake Wells,WECC,22,,RE
803,114,Douglas,Cochise,AZ,85607,Municipality,WECC,22,,RE
803,115,Irving,Yavapai,AZ,86322,Fossil Creek/Natural Spring,WECC,22,,RE
803,116,Ocotillo,Maricopa,AZ,85281,Wells,WECC,22,,RE
803,117,West Phoenix,Maricopa,AZ,85043,Wells,WECC,22,,RE
803,118,Saguaro,Pinal,AZ,85245,Wells,WECC,22,,RE
803,120,Yucca,Yuma,AZ,85364,Wells,WECC,22,,RE
803,2442,Four Corners,San Juan,NM,87416,Lake River,WECC,22,,RE
803,6008,Palo Verde,Maricopa,AZ,85036,Sewage Effluent,WECC,22,,RE
803,55455,Red Hawk,Maricopa,AZ,85322,Municipality,WECC,22,,RE
803,55522,Sundance,Pinal,AZ,85228,Municipality,WECC,22,,RE
803,56228,Prescott Airport,Yavapai,AZ,86301,,WECC,22,,RE
807,201,Thomas Fitzhugh,Franklin,AR,72949,Arkansas River,SPP,22,,RE
807,202,Carl Bailey,Woodruff,AR,72006,White River,SERC,22,,RE
807,203,McClellan,Ouachita,AR,71701,Ouachita River,SERC,22,,RE
807,7040,Ellis,Crawford,AR,72956,Arkansas River,SPP,22,,RE
807,7135,Whillock,Conway,AR,72110,Arkansas River,SERC,22,,RE
807,7246,Dam 2,Desha,AR,71639,Arkansas River,SERC,22,,RE
807,7825,Fulton,Hempstead,AR,71838,N/A,SPP,22,,RE
807,55221,Wrightsville Power Facility,Pulaski,AR,72206,Municipality,SERC,22,,RE
807,56489,Elkins Generating Center,Washington,AR,72727,None,SPP,22,,RE
814,166,Carpenter,Garland,AR,71901,Lake Hamilton,SERC,22,,RE
814,167,Cecil Lynch,Pulaski,AR,72117,Arkansas River,SERC,22,,RE
814,168,Hamilton Moses,St Francis,AR,72335,Cooling Tower,SERC,22,,RE
814,169,Harvey Couch,Lafayette,AR,71860,Cooling Tower,SERC,22,,RE
814,170,Lake Catherine,Hot Spring,AR,72105,Lake Catherine,SERC,22,,RE
814,171,Mabelvale,Pulaski,AR,72103,Air Cooled,SERC,22,,RE
814,173,Robert E Ritchie,Phillips,AR,72342,Mississippi River,SERC,22,,RE
814,174,Remmel,Hot Spring,AR,72104,Lake Catherine,SERC,22,,RE
814,6009,White Bluff,Jefferson,AR,72132,Arkansas River,SERC,22,,RE
814,6641,Independence,Independence,AR,72562,White River,SERC,22,,RE
814,8055,Arkansas Nuclear One,Pope,AR,72801,Lake Dardenelle,SERC,22,,RE
834,55255,Archer Generating Station,Wichita,KS,75240,,SPP,22,"TXU Energy Trading Co., LP",NR
867,50216,Watson Cogeneration,Los Angeles,CA,90749,Dominquez Water,WECC,32411,Southern California Edison Co,NR
871,2216,Arnold,Custer,NE,69120,Municipal Wells,MRO,22,,RE
