UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVICE AREA,REGULATORY STATUS
50084,55604,HMDC Kingsland Landfill,Bergen,NJ,7031,,RFC,22,Public Service Elec & Gas Co,NR
50084,55647,MM Nashville,Davidson,TN,37218,,SERC,22,Nashville Electric Service,NR
50084,56167,Colton Landfill,San Bernardino,CA,92324,,WECC,22,Southern California Edison Co,NR
50084,56170,Mid Valley Landfill,San Bernardino,CA,92377,,WECC,22,Southern California Edison Co,NR
50084,56171,Milliken Landfill,San Bernardino,CA,91761,,WECC,22,Southern California Edison Co,NR
50085,10062,Miami Dade County Resource Recovery Fac,Miami-Dade,FL,33178,Wells,FRCC,22,Florida Power & Light Company,NR
50094,55222,Lincoln Generating Facility,Will,IL,60442,Municipality,RFC,22,Commonwealth Edison Co,NR
50095,56294,Bayway Refinery,Union,NJ,7036,,RFC,32411,Public Service Elec & Gas Co,NR
50096,55192,Osceola,Osceola,FL,34773,St Johns Water Mgmt District,FRCC,22,Progress Energy Florida,NR
50096,55318,Indian River,Brevard,FL,32780,Indian River,FRCC,22,Florida Power & Light Co,NR
50097,50282,Luke Mill,Allegany,MD,21540,Potomac River,RFC,322122,Potomac Edison Co,NR
50098,5756,KMS Joliet Power Partners LP,Will,IL,60436,,,22,Commonwealth Edison Co,NR
50098,55758,KMS Macon Power,Macon,IL,62522,Municipality,,22,Illinois Power Co,NR
50099,10403,Laidlaw Energy & Environmental,Cattaraugus,NY,14731,Stream,NPCC,22,Niagara Mohawk Power Corp,NR
50100,6122,R. E. Ginna Nuclear Power Plant,Wayne,NY,14519,Lake Ontario,NPCC,22,Rochester Gas and Electric Corporation,NR
50102,54763,Rock-Tenn Mill,Marengo,AL,36732,N/A,SERC,32213,Alabama Power Co,NR
50103,55113,Sunoco Eagle Point Refinery,Gloucester,NJ,8093,Delaware River,RFC,32411,Public Service Elec & Gas Co,NR
50106,7835,Rock Springs Generation Facility,Cecil,MD,21911,NA,RFC,22,Pennsylvania Electric Co,NR
50110,54828,3200 Wildwood Plaza,Cobb,GA,30339,,SERC,521,Georgia Power Co,NR
50111,1443,Louis Doc Bonin,Lafayette,LA,70506,Cooling Tower,SPP,22,,RE
50111,1445,Rodemacher,Lafayette,LA,70501,Cooling Tower,SPP,22,,RE
50111,56108,T J Labbe Electric Generating,Lafayette,LA,70507,Municipality,SPP,22,,RE
50111,56283,Hargis-Hebert Electric Generating,Lafayette,LA,70508,Municipality,SPP,22,,RE
50114,55052,Jameson Gas Processing Plant,Coke,TX,76949,,ERCOT,211,AEP Texas North Company,NR
50118,6789,St Stephen,Berkeley,SC,29479,Lake Moultrie,SERC,22,,RE
50122,10195,Terra Mississippi Nitrogen,Yazoo,MS,39194,,SERC,325311,Entergy Mississippi Inc,NR
50123,56160,"Mendota Hills, LLC",Lee,IL,60553,N/A,RFC,22,Commonwealth Edison Co,NR
50123,56211,Sweetwater Wind  1 LLC,Nolan,TX,79556,NA,ERCOT,22,TXU Electric Delivery Company,NR
50123,56212,Sweetwater Wind 2 LLC,Nolan,TX,79556,NA,ERCOT,22,TXU Electric Delivery Company,NR
50123,56293,Caprock Wind Farm,Quay,NM,88434,NA,WECC,22,Southwestern Public Service Co,NR
50123,56295,Kumeyaay Wind,San Diego,CA,91906,NA,WECC,22,San Diego Gas & Electric Co,NR
50123,56297,Crescent Ridge,Bureau,IL,61368,,SERC,22,Commonwealth Edison Co,NR
50123,56299,Wind Park Bear Creek,Luzerne,PA,18702,NA,RFC,22,PPL EnergyPlus LLC,NR
50123,56300,Jersey-Atlantic Wind Farm,Atlantic,NJ,8401,NA,RFC,22,Atlantic City Electric Co,NR
50123,56311,Sweetwater Wind 3 LLC,Nolan,TX,79556,NA,ERCOT,22,TXU Electric Delivery Company,NR
