GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US12019,12019,"Clay County, Florida",169528,*****
0500000US12021,12021,"Collier County, Florida",302514,*****
0500000US12031,12031,"Duval County, Florida",810698,*****
0500000US12033,12033,"Escambia County, Florida",274663,*****
0500000US12035,12035,"Flagler County, Florida",75757,*****
0500000US12053,12053,"Hernando County, Florida",156325,*****
0500000US12055,12055,"Highlands County, Florida",94177,*****
0500000US12057,12057,"Hillsborough County, Florida",1111717,*****
0500000US12061,12061,"Indian River County, Florida",126258,*****
0500000US12069,12069,"Lake County, Florida",273277,*****
0500000US12071,12071,"Lee County, Florida",539097,*****
0500000US12073,12073,"Leon County, Florida",233649,*****
0500000US12081,12081,"Manatee County, Florida",300828,*****
0500000US12083,12083,"Marion County, Florida",295555,*****
0500000US12085,12085,"Martin County, Florida",136138,*****
0500000US12086,12086,"Miami-Dade County, Florida",2329187,*****
0500000US12087,12087,"Monroe County, Florida",75074,*****
0500000US12091,12091,"Okaloosa County, Florida",177284,*****
0500000US12095,12095,"Orange County, Florida",1002849,*****
0500000US12097,12097,"Osceola County, Florida",229134,*****
0500000US12099,12099,"Palm Beach County, Florida",1247908,*****
0500000US12101,12101,"Pasco County, Florida",423356,*****
0500000US12103,12103,"Pinellas County, Florida",905158,*****
0500000US12105,12105,"Polk County, Florida",530126,*****
0500000US12107,12107,"Putnam County, Florida",72148,*****
0500000US12109,12109,"St. Johns County, Florida",159235,*****
0500000US12111,12111,"St. Lucie County, Florida",238575,*****
0500000US12113,12113,"Santa Rosa County, Florida",140650,*****
0500000US12115,12115,"Sarasota County, Florida",359783,*****
0500000US12117,12117,"Seminole County, Florida",398013,*****
0500000US12127,12127,"Volusia County, Florida",475189,*****
0500000US13015,13015,"Bartow County, Georgia",88189,*****
0500000US13021,13021,"Bibb County, Georgia",149248,*****
0500000US13045,13045,"Carroll County, Georgia",101762,*****
0500000US13051,13051,"Chatham County, Georgia",227915,*****
0500000US13057,13057,"Cherokee County, Georgia",182816,*****
0500000US13059,13059,"Clarke County, Georgia",95217,*****
0500000US13063,13063,"Clayton County, Georgia",264231,*****
0500000US13067,13067,"Cobb County, Georgia",653715,*****
0500000US13073,13073,"Columbia County, Georgia",103069,*****
0500000US13077,13077,"Coweta County, Georgia",109108,*****
0500000US13089,13089,"DeKalb County, Georgia",662973,*****
0500000US13095,13095,"Dougherty County, Georgia",90508,*****
0500000US13097,13097,"Douglas County, Georgia",111765,*****
0500000US13113,13113,"Fayette County, Georgia",103643,*****
0500000US13115,13115,"Floyd County, Georgia",90124,*****
