UTILITY_ID,PLANT_CODE,PLANT_NAME,STREET_ADDRESS,CITY,COUNTY,STATE,ZIP5,NAME_OF_WATER_SOURCE,NERC,PRIMARY_PURPOSE,OWNERTRANSDIST,OWNERTRANSID,OWNERSTATE,REGULATORY_STATUS,SECTOR_NAME,SECTOR_NUMBER,FERC_COGEN,FERC_COGEN_DOCKET,FERC_SMALL_POWER,FERC_SMALL_POWER_DOCKET,FERC_EXEMPT_WHOLESALE,FERC_EXEMPT_WHOLESALE_DOCKET,ISO_RTO,ISO_RTO_CODE
7,10867,Tate & Lyle Decatur Plant Cogen,2200 East Eldorado St,Decatur,Macon,IL,62525,Municipality,SERC,311,Illinois Power Co,9208,MO,NR,Industrial,7,Y,86-921-000,N,,N,,Y,MISO
8,50903,Sagamore Plant Cogeneration,2245 Sagamorc Parkway North,Lafayette,Tippecanoe,IN,47904,Wells,RFC,311,Duke Energy Indiana Inc,15470,IN,NR,Industrial,7,Y,86-169-000,N,,N,,Y,MISO
20,55454,AES Cypress LLC,,,Mississippi,AR,72426,Municipal/Demineralized,SERC,22,,,,NR,IPP,2,N,,N,,N,,,
21,10671,AES Shady Point LLC,PO Box 1740,Panama,Leflore,OK,74951,Poteau River,SPP,22,OG&E Electric Services Inc,56403,OK,NR,IPP CHP,3,Y,85-11-003,N,,N,,Y,SPP
25,2527,AES Greenidge LLC,590 Plant Road,Dresden,Yates,NY,14441,Seneca Lake,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP,2,N,,N,,Y,99-1773-000,N,
34,3305,Rocky River,146 Power Dam Lane,Iva,Anderson,SC,29655,Lake Secession,SERC,22,Abbeville City of,34,SC,RE,Electric Utility,1,N,,N,,N,,N,
35,10678,AES Warrior Run Cogeneration Facility,"11600 Mexico Farms Rd, S.E.",Cumberland,Allegany,MD,21502,City Of Cumberland Water Suppl,RFC,22,FirstEnergy Co,6449,OH,NR,IPP CHP,3,Y,92-123-000,N,,N,,Y,PJM
39,2529,AES Hickling LLC,11884 Hickling Rd,Corning,Steuben,NY,14830,Chemung River,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP,2,N,,N,,Y,99-1773-000,,
40,55788,Hospira Inc,2400 Walden Avenue,Buffalo,ERIE,NY,14225,,NPCC,325211,New York State Elec & Gas Corp,13511,NY,NR,Industrial,6,N,,N,,N,,Y,NYISO
42,10675,AES Thames,141 Depot Road,Uncasville,New London,CT,6382,Thames River,NPCC,22,Connecticut Light & Power Co,4176,CT,NR,IPP CHP,3,Y,85-638-001,N,,N,,Y,ISONE
46,55631,AES Hoytdale LLC,,Beaver,Beaver,PA,16157,Beaver River,RFC,22,,,,NR,IPP,2,N,,N,,N,,,
52,10002,ACE Cogeneration Facility,12801 Mariposa St.,Trona,San Bernardino,CA,93562,Wells,WECC,22,Southern California Edison Co,17609,CA,NR,IPP CHP,3,Y,86-AFC-1,N,,N,,Y,CAISO
60,55636,St Joseph County Generating Facility,,,St Joseph,IN,46552,,,22,,,,NR,IPP,2,N,,N,,N,,,
65,50249,Abitibi Consolidated Lufkin,3201 Hwy 103 East,Lufkin,Angelina,TX,75902,Wells,TRE,322122,,,,NR,Industrial,7,N,,N,,N,,,
82,10819,Ada Cogeneration LP,7575 Fulton Street East,ADA,Kent,MI,49355,City Water,RFC,22,Consumers Energy Co,4254,MI,NR,IPP CHP,3,Y,87-529-000,N,,N,,Y,MISO
84,6390,Tangier,4463 Janders Rd,Tangier,Accomack,VA,23440,Wells,RFC,22,A & N Electric Coop,84,VA,RE,Electric Utility,1,N,,N,,N,,Y,PJM
84,6391,Smith Island,20697 Caleb Jones Rd,Ewell,Somerset,MD,21824,Wells,RFC,22,A & N Electric Coop,84,VA,RE,Electric Utility,1,N,,N,,N,,Y,PJM
88,55170,Granite Ridge,21 North Wentworth Avenue,Londonderry,Rockingham,NH,3053,Manchester Wastewater Treatmen,NPCC,22,Public Service Co of NH,15472,NH,NR,IPP,2,N,,N,,Y,00-78-000,Y,ISONE
109,10223,AG Processing Inc,500 N Commercial,Eagle Grove,Wright,IA,50533,Well,MRO,311,MidAmerican Energy Co,12341,IA,NR,Industrial,7,Y,83-190-000,N,,N,,Y,MISO
114,55459,Addis Energy Center,,Addis,West Baton Rouge,LA,70710,Mississippi River,SERC,325,,,,NR,Industrial,6,N,,N,,N,,,
135,10593,Agrilectric Power Partners Ltd,3063 Hwy. 397,Lake Charles,Calcasieu,LA,70615,Rainwater Cooling,SERC,22,Entergy Gulf ownerstates Louisiana LLC,55936,LA,NR,IPP,2,N,,Y,83-15-000; 949900,N,,N,
142,10676,AES Beaver Valley Partners Beaver Valley,394 Frankfort Rd.,Monaca,Beaver,PA,15061,Nova Chemical Co (Ohio River),RFC,22,Duquesne Light Co,5487,PA,NR,IPP CHP,3,Y,83-428-003,N,,N,,Y,PJM
150,1956,Adrian,20 Main Avenue,Adrian,NOBLES,MN,56110,N/A,MRO,22,Adrian Public Utilities Comm,150,MN,RE,Electric Utility,1,N,,N,,N,,N,
156,10670,AES Deepwater,701 Light Company Road,Pasadena,Harris,TX,77506,River and Municipality,TRE,22,"CenterPoint Energy Houston Electric, LLC",8901,TX,NR,IPP CHP,3,N,,N,,N,,Y,ERCOT
163,52093,Oxford Cogeneration Facility,25401 Highway 33,Fellows,Kern,CA,93224,N/A,WECC,211,Midway-Sunset Cogeneration Co,12687,CA,NR,Industrial,7,Y,84-198-000,N,,N,,Y,CAISO
164,50752,South Belridge Cogeneration Facility,19590 Seventh Standard Rd,McKittrick,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,Y,87-230-000,N,,N,,Y,CAISO
164,52077,Lost Hills Cogeneration Plant,Holloway Rd and Highway 46,Lost Hills,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,Y,84-940-00,N,,N,,Y,CAISO
164,55185,Aera South Belridge Cogen Facility,Highway 33 and Lost Hills Rd,McKittrick,Kern,CA,93251,N/A,WECC,211,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,N,,N,,N,,Y,CAISO
174,1957,Aitkin,,,Aitkin,MN,56431,Municipality,MRO,22,,,,RE,Electric Utility,1,N,,N,,N,,,
177,10673,AES Hawaii,91-086 Kaomi Loop,Kapolei,Oahu,HI,96707,Wells,HICC,22,Hawaiian Electric Co Inc,19547,HI,NR,IPP CHP,3,Y,87-483-001,N,,N,,N,
178,10677,CES Placerita Power Plant,20885 Placerita Canyon Road,Santa Clarita,,CA,91321,Underground water well,WECC,22,Southern California Edison Co,17609,CA,NR,IPP CHP,3,N,,N,,Y,99-231-000,Y,CAISO
179,54452,Agrium Kenai Nitrogen Operations,Mile 21.5 Kenai Spur Highway,Kenai,Kenai Peninsula,AK,99611,Wells,ASCC,325311,Homer Electric Assn Inc,19558,AK,NR,Industrial,7,N,,N,,N,,N,
189,53,Gantt,28605 Powerhouse Road,Andalusia,Covington,AL,36421,Conecuh River,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
189,55,Point A,25482 Firetower Lane,Andalusia,Covington,AL,36421,Conecuh River,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
189,56,Charles R Lowman,Carson Road,Leroy,Washington,AL,36548,Tombigbee River,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
189,533,McWilliams,28570 US 29 North,Gantt,Covington,AL,36038,Conecuh River,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
189,6192,Portland,C-6 Radar Site Eglin AFB,Eglin AFB,Walton,FL,32542,,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
189,7063,McIntosh,"Hwy 43, Mile 37.5",McIntosh,Washington,AL,36553,Ciba,SERC,22,PowerSouth Energy Cooperative,189,AL,RE,Electric Utility,1,N,,N,,N,,N,
194,10339,Southside Water Reclamation Plant,4210 2nd st SW,Albuquerque,Bernalillo,NM,87105,,WECC,22,Public Service Co of NM,15473,NM,NR,IPP CHP,3,Y,88-127-000,N,,N,,N,
195,2,Bankhead Dam,19001 Lock 17 Road,Northport,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,3,Barry,North Highway 43,Bucks,Mobile,AL,36512,Mobile River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,4,Walter Bouldin Dam,750 Bouldin Dam Road,Wetumpka,Elmore,AL,36092,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,7,Gadsden,1000 Goodyear Ave,Gadsden,Etowah,AL,35903,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,8,Gorgas,460 Gorgas Road,Parrish,Walker,AL,35580,Warrior River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,10,Greene County,Highway 43,Demopolis,Greene,AL,36732,Black Warrior River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,11,H Neely Henry Dam,1021 Ala Highway 144,Ohatchee,Calhoun,AL,36271,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,12,Holt Dam,12117 Power Plant Road,Tuscaloosa,Tuscaloosa,AL,35476,Black Warrior River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,13,Jordan Dam,6150Jordan Dam Lane,Wetumpka,Elmore,AL,36092,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,14,Logan Martin Dam,299 Logan Martin Road,Vincent,Talladega,AL,35178,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,15,Lay Dam,626 County Road 794,Clanton,Chilton,AL,35045,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,16,Martin Dam,675 Overlook Drive,Dadeville,Elmore,AL,36078,Tallapoosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,17,Mitchell Dam,2235 County Road 93,Verbena,Coosa,AL,36091,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,18,Lewis Smith Dam,640 Powerhouse Road,Jasper,Walker,AL,35501,Sipsey Fork Black Warrior Rive,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,19,Thurlow Dam,249 Outer Drive,Tallassee,Elmore,AL,36078,Tallapoosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,20,Weiss Dam,2500 County Road 20,Leesburg,Cherokee,AL,35983,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,21,Yates Dam,County Road 44,Tallassee,Elmore,AL,36078,Tallapoosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,26,E C Gaston,31972 Highway 25 North,Wilsonville,Shelby,AL,35186,Coosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,6001,Joseph M Farley,7388 North State Highway 95,Columbia,Houston,AL,36319,Chattahoochee River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,6002,James H Miller Jr,42050 Porter Road,Quinton,Jefferson,AL,35073,Black Warrior River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,6188,Harris Dam,2671 County Road 100,Lineville,Randolph,AL,36266,Tallapoosa River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,7697,Washington County Cogeneration Facility,Highway 43,McIntosh,Washington,AL,36553,City Water,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,7698,General Electric Plastic,Hwy. 43 & County Road 18,Burkeville,Lowndes,AL,36752,City Water,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,7708,APC1,unsited,,,AL,0,,SERC,22,,,,RE,Electric Utility,1,N,,N,,N,,N,
195,7721,Theodore Cogen Facility,Industrial Blvd.,Theodore,Mobile,AL,36582,River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
195,7840,Goat Rock,,,Lee,AL,36874,Chattahoochee River,SERC,22,,,,,Electric Utility,1,,,,,,,,
195,7876,APC2,unsited,,,AL,,,SERC,22,,,,RE,Electric Utility,1,N,,N,,N,,N,
195,7877,APC3,unsited,,,AL,,,SERC,22,,,,RE,Electric Utility,1,N,,N,,N,,N,
204,54429,Alabama Pine Pulp,2373 Lena Landegger Hwy. Co Rd,Perdue Hill,Monroe,AL,36470,Alabama River,SERC,322,Alabama Power Co,195,AL,NR,Industrial,7,N,,N,,N,,N,
213,62,Annex Creek,Annex Creek,Juneau,Juneau,AK,99801,Annex Creek Lake,ASCC,22,Alaska Electric Light&Power Co,213,AK,RE,Electric Utility,1,N,,N,,N,,N,
213,63,Gold Creek,700 Capital Ave.,Juneau,Juneau,AK,99801,Gold Creek,ASCC,22,Alaska Electric Light&Power Co,213,AK,RE,Electric Utility,1,N,,N,,N,,N,
213,64,Lemon Creek,5601 Tonsgard Ct.,Juneau,Juneau,AK,99801,,ASCC,22,Alaska Electric Light&Power Co,213,AK,RE,Electric Utility,1,N,,N,,N,,N,
213,65,Salmon Creek 1,2750 Channel Vista Dr.,Juneau,Juneau,AK,99801,Salmon Creek Reservoir,ASCC,22,Alaska Electric Light&Power Co,213,AK,RE,Electric Utility,1,N,,N,,N,,N,
213,78,Snettisham,Port Snettisham,Juneau,Juneau,AK,99801,Long Lake And Crater Lake,ASCC,22,Alaska Industrial Dev&Exp Auth,253,AK,RE,Electric Utility,1,N,,N,,N,,N,
213,7250,Auke Bay,12480 Mendenhall Loop Rd.,Juneau,Juneau,AK,99801,N/A,ASCC,22,Alaska Electric Light&Power Co,213,AK,RE,Electric Utility,1,N,,N,,N,,N,
213,57085,Lake Dorothy Hydroelectric Project,Lake Dorothy,Juneau,JUNEAU,AK,99801,Lake Dorothy,ASCC,22,Alaska Electric Light&Power Co,213,AK,RE,Electric Utility,1,N,,N,,N,,N,
219,66,Skagway,110 Spring St,Skagway,Skagway-Yakutat,AK,99840,Dewey Lake,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,69,Haines,241 Dalton St.,Haines,Haines,AK,99927,,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,406,Tok,Milepost 1314 AK Hwy,Tok,Southeast Fairbanks,AK,99780,Well,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,421,Craig,401 7th Street,Craig,Prince of Wales,AK,99921,Municipality,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,423,Hydaburg,105 Hyda Street,Prince of Wales,Prince of Wales,AK,99922,,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,7169,Northway,Milepost 1314 AK Hwy,Tok,Southeast Fairbanks,AK,99764,Well,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,7414,Thorne Bay Plant,401 7th Street,Craig,Prince of Wales,AK,99919,N/A,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,7506,Healy Lake,Milepost 1314 AK HWY,Healy Lake,Fairbanks North Star,AK,99737,Well - Village Council,ASCC,22,,,,,Electric Utility,1,,,,,,,,
219,7751,Goat Lake Hydro,110 Spring St,Skagway,Skagway-Yakutat,AK,99840,Goat Lake,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,7752,Black Bear Lake,401 7th Street,Craig,Prince of Wales,AK,99921,Black Bear Lake,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,56146,False Island,"Lot 6, Marine Industrial Park",Thorne Bay,Prince of Wales,AK,99919,,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,56147,Viking,Mile 6 Craig/Klawock Highway,Craig,Prince of Wales,AK,99921,,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,56265,South Fork,Mile 8 Blackbear Lake Rd,Klawock,Prince of Wales,AK,99925,South Fork Black Bear Creek,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
219,56542,Kasidaya Creek Hydro,Near Kasidaya Creek,Skagway,Skagway-Yakutat,AK,99840,Kawidaya Creek,ASCC,22,Alaska Power Co,219,WA,RE,Electric Utility,1,N,,N,,N,,N,
221,6311,Chevak,14 Utility Drive,Chevak,Bethel,AK,99563,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6314,Emmonak,07 Utility Drive,Emmonak,Bethel,AK,99581,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6319,Hooper Bay,08 Utility Drive,Hooper Bay,Bethel,AK,99604,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6323,Kiana,01 Utility Drive,Kiana,Kobuk,AK,99749,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6329,Mountain Village,68 Utility Drive,Moutain Village,Bethel,AK,99632,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6330,Noorvik,02 Utility Drive,Noorvik,Kobuk,AK,99763,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6333,Nunapitchuk,09 Utility Drive,Nunapitchuk,Bethel,AK,99641,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6338,St Marys,26 Utility Drive,St Marys,Bethel,AK,99658,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6339,St Michael,,,Nome,AK,99659,N/A,ASCC,22,,,,,Electric Utility,1,,,,,,,,
221,6341,Selawik,03 Utility Drive,Selawik,Kobuk,AK,99770,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6345,Shishmaref,27 Utility Drive,Shishmaref,Nome,AK,99772,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,6348,Togiak,10 Utility Drive,Togiak,Dillingham,AK,99678,N/A,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57051,Noatak,PO Box 89,Noatak,Northwest Arctic,AK,99761,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57052,Savoonga,PO Box 40,Savoonga,Nome,AK,99769,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57053,Alakanuk,PO Box 167,Alakanuk,WADE HAMPTON,AK,99554,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57054,Upper Kalskag,PO Box 80,Upper Kalskag,Bethel,AK,99607,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57055,Stebbins,PO Box 22,Stebbins,Nome,AK,99671,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57056,Scammon Bay,PO Box 90,Scammon Bay,Wade Hampton,AK,99662,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57057,Quinhagak,PO Box 90,Quinhagak,Bethel,AK,99655,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57058,Pilot Station,PO Box 5040,Pilot Station,Wade Hampton,AK,99650,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57059,Koyuk,PO Box 29,Koyuk,Nome,AK,99753,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57060,Elim,PO Box 39009,Elim,Nome,AK,99739,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57061,St. Michael,PO Box 59070,St. Michael,Nome,AK,99659,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57062,Gambell,PO Box 189,Gambell,Nome,AK,99742,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57063,Shungnak,PO Box 59,Shungnak,Northwest Arctic,AK,99773,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57064,Kotlik,PO Box 20268,Kotlik,Wade Hampton,AK,99620,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57065,Kivalina,PO Box 50079,Kivalina,Northwest Arctic,AK,99750,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57066,Kasigluk,PO Box 19 Akula Heights,Kasigluk,Bethel,AK,99609,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
221,57067,Toksook Bay,"Nelson Island, PO Box 37008",Toksook Bay,Bethel,AK,99637,,ASCC,22,"Alaska Village Elec Coop, Inc",221,AK,RE,Electric Utility,1,N,,N,,N,,N,
222,54265,Akron Recycle Energy Plant,226 Opportunity Parkway,Akron,Summit,OH,44307,Municipality,RFC,622,Ohio Edison Co,13998,OH,NR,Commercial,5,N,,N,,N,,Y,MISO
228,2113,Albany,906 W. South St.,Albany,GENTRY,MO,64402,N/A,SERC,22,"N W Electric Power Coop, Inc",13190,MO,RE,Electric Utility,1,N,,N,,N,,N,
257,55676,AES Columbia Power Project,,,Walla Walla,WA,99363,,WECC,22,,,,NR,IPP,2,N,,N,,N,,,
261,6705,Warrick,4700 Darlington Rd.,Newburgh,Warrick,IN,47630,Ohio River,RFC,22,Southern Indiana Gas & Elec Co,17633,IN,NR,IPP CHP,3,Y,99-74-000,N,,N,,Y,MISO
291,10567,Algonquin Windsor Locks,26 Canal Bank Rd,Windsor Locks,HARTFORD,CT,6096,Windsor Locks Canal,NPCC,22,Connecticut Light & Power Co,4176,CT,NR,IPP CHP,3,Y,86-765-000,N,,N,,Y,ISONE
295,1958,Alexandria,PO Box 609,Alexandria,Douglas,MN,56308,Lake Winona,MRO,22,City of Alexandria,295,MN,RE,Electric Utility,1,N,,N,,N,,N,
298,6558,D G Hunter,1011 North Third Street,Alexandria,Rapides,LA,71301,WELLS,SPP,22,City of Alexandria,298,LA,RE,Electric Utility,1,N,,N,,N,,N,
306,54898,Santeetlah,Hwy 129,Robbinsville,Graham,NC,28771,Cheoah River,SERC,331312,Alcoa Power Generating Inc Tapoco Div,306,TN,RE,Electric Utility,1,N,,N,,N,,N,
306,54899,Cheoah,Hwy 129,Tapoco,Graham,NC,28780,Little Tennessee River,SERC,331312,Alcoa Power Generating Inc Tapoco Div,306,TN,RE,Electric Utility,1,N,,N,,N,,N,
306,54900,Calderwood,314 Growden Blvd.,Maryville,Blount,TN,37801,Little Tennessee River,SERC,331312,Alcoa Power Generating Inc Tapoco Div,306,TN,RE,Electric Utility,1,N,,N,,N,,N,
306,54901,Chilhowee,6102 Calderwood Hwy,Tallassee,Blount,TN,37801,Little Tennessee River,SERC,331312,Alcoa Power Generating Inc Tapoco Div,306,TN,RE,Electric Utility,1,N,,N,,N,,N,
309,1120,Algona,521 N Hall St.,Algona,Kossuth,IA,50511,Wells,MRO,22,City of Algona,309,IA,RE,Electric Utility,1,N,,N,,N,,N,
309,7966,Iowa Distributed Wind Generation Project,1604 190th Street,Algona,Kossuth,IA,50511,NA,MRO,22,City of Algona,309,IA,RE,Electric Utility,1,N,,N,,N,,Y,MISO
313,55139,Wolf Hollow I LP,9201 Wolf Hollow Court,Granbury,Hood,TX,76048,Lake Granbury,TRE,22,Oncor,55998,TX,NR,IPP,2,N,,N,,Y,01-111-000,Y,ERCOT
317,54894,Narrows,37720 Pine Street,Badin,Stanly,NC,28009,Yadkin River,SERC,22,Alcoa Power Generating Inc Yadkin Div,56093,TN,RE,Electric Utility,1,N,,N,,N,,N,
317,54895,Falls,49156 Falls Road,Badin,Stanly,NC,28009,Yadkin River,SERC,22,Alcoa Power Generating Inc Yadkin Div,56093,TN,RE,Electric Utility,1,N,,N,,N,,N,
317,54896,High Rock,3344 Bringle Ferry Road,Denton,Davidson,NC,28239,Yadkin River,SERC,22,Alcoa Power Generating Inc Yadkin Div,56093,TN,RE,Electric Utility,1,N,,N,,N,,N,
317,54897,Tuckertown,711 Tuckertown Road,New London,Montgomery,NC,28127,Yadkin River,SERC,22,Alcoa Power Generating Inc Yadkin Div,56093,TN,RE,Electric Utility,1,N,,N,,N,,N,
326,54391,Alice Falls Hydro Project,Route 9,Keeseville,Clinton,NY,12944,Ausable River,NPCC,22,New York State Elec & Gas Corp,13511,NY,NR,IPP,2,N,,Y,58-67-000,N,,Y,NYISO
327,10298,Bayou Cogen Plant,11777 Bay Area Blvd,Pasadena,Harris,TX,77507,Coastal Water Authority,TRE,325,"CenterPoint Energy Houston Electric, LLC",8901,TX,NR,Industrial,7,Y,83-403-000,N,,N,,Y,ERCOT
332,7128,William F Matson Generating Station,"R.D. #1, Rasystown Dam",Huntingdon,HUNTINGDON,PA,16652,Raystown Branch Juniata River,RFC,22,Pennsylvania Electric Co,14711,OH,RE,Electric Utility,1,N,,N,,N,,Y,PJM
335,54748,Port Neches Plant,2121 Park Street,Port Neches,Jefferson,TX,77651,Ind Gas Manure,SERC,325,Entergy Gulf States Inc,7806,TX,NR,Industrial,7,Y,93-40-000,N,,N,,N,
335,56787,Geismar Cogen,36597 Hwy 30,Geismar,Ascension,LA,70734,BASF/Mississippi River,SERC,325,Entergy Louisiana Inc,11241,LA,NR,Industrial,7,Y,99-91-000,N,,N,,N,
343,8842,Cook - AEP,,Metropolis,,IL,,,,,,,,,,,,,,,,,,
343,55502,Lawrenceburg Energy Facility,582 W. Eads Parkway,Lawrenceburg,Dearborn,IN,47025,Tanners Creek,RFC,22,Indiana Michigan Power Co,9324,OH,RE,Electric Utility,1,N,,N,,Y,01-123-000,Y,PJM
349,10216,Alabama River Pulp,2373 Lena Landegger Hwy.Co. Rd,Perdue Hill,Monroe,AL,36470,Alabama River,SERC,322,Alabama Power Co,195,AL,NR,Industrial,7,N,,N,,N,,N,
353,10640,Stockton Cogen,1010 Zephyr Street,Stockton,San Joaquin,CA,95206,Well,WECC,22,Pacific Gas & Electric Co,14328,CA,NR,IPP CHP,3,Y,85-225-001,N,,N,,Y,CAISO
