UTILITY_ID,PLANT_CODE,PLANT_NAME,STREET_ADDRESS,CITY,COUNTY,STATE,ZIP5,NAME_OF_WATER_SOURCE,NERC,PRIMARY_PURPOSE,OWNERTRANSDIST,OWNERTRANSID,OWNERSTATE,REGULATORY_STATUS,SECTOR_NAME,SECTOR_NUMBER,FERC_COGEN,FERC_COGEN_DOCKET,FERC_SMALL_POWER,FERC_SMALL_POWER_DOCKET,FERC_EXEMPT_WHOLESALE,FERC_EXEMPT_WHOLESALE_DOCKET,ISO_RTO,ISO_RTO_CODE
25915,238,El Dorado,100 Forebay Road,Pollock Pines,EL DORADO,CA,95667,South Fork American River,WECC,22,Pacific Gas & Electric Co,14328,CA,RE,Electric Utility,1,N,,N,,N,,Y,CAISO
25983,50142,Sparks Regional Medical Center,1311 South I Street,Fort Smith,Sebastian,AR,72917,Municipality,SPP,622,,,,NR,Commercial,5,Y,84-381-000; '84-382-000,N,,N,,,
26003,54525,Kankakee Hydro Facility,175 W. Water Street,Kankakee,KANKAKEE,IL,60901,Kankakee River,RFC,22132,Commonwealth Edison Co,4110,IL,RE,Electric Utility,1,N,,N,,N,,Y,PJM
26253,1453,New Roads,215 Oak Street,New Roads,Pointe Coupee,LA,70760,Municipality,SPP,22,City of New Roads,13483,LA,RE,Electric Utility,1,N,,N,,N,,Y,SPP
26256,50317,Love Box,700 E 37th North,Wichita,Sedgwick,KS,67219,,SPP,322,,,,NR,Industrial,7,N,,N,,N,,,
26287,50322,Site 980 65,Road 400,Madera,MADERA,CA,93637,Friant Dam,WECC,22,Pacific Gas & Electric Co,14328,CA,NR,IPP,2,N,,N,,N,,Y,CAISO
26450,55374,Indeck Chicago Heights Energy,Joe Orr Rd & Cottage Grove Ave,Chicago Heights,Cook,IL,60411,Lake Michigan,MRO,22,,,,NR,IPP,2,N,,N,,N,,,
26469,55313,Ingleside Cogeneration,St. Hwy 361,Ingleside,San Patricio,TX,78359,San Patricio Municipal Water,TRE,325,AEP Texas Central Company,3278,OH,NR,Industrial,7,Y,98-18-001,N,,Y,98-18-000,Y,ERCOT
26561,55300,MBC Holding,,,Ramsey,MN,55102,,MRO,311,,,,NR,Industrial,6,N,,N,,N,,,
26599,50031,Mt Ida Hydroelectric,Congress Street,Troy,Rennselear,NY,12180,Poestenkill,NPCC,22,Niagara Mohawk Power Corp.,13573,NY,NR,IPP,2,N,,Y,83-27-000,N,,Y,NYISO
26616,7482,NSB Atquasuk Utility,106 Tikigluk,Atqasuk,North Slope,AK,99791,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26616,7483,NSB Kaktovik Utility,439 Fourth Street,Kaktovik,North Slope,AK,99747,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26616,7484,NSB Nuiqsut Utility,3300 Anaktuvuk Street,Nuiqsut,North Slope,AK,99789,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26616,7485,NSB Point Hope Utility,1737 Qalgi Ave,Pt Hope,North Slope,AK,99766,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26616,7486,NSB Point Lay Utility,109 Tuttunniaqvik Street,PT Lay,North Slope,AK,99759,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26616,7487,NSB Anaktuvuk Pass,1024 Summer,Anaktuvuk Pass,North Slope,AK,99721,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26616,7488,NSB Wainwright Utility,117 Summer Rd,Wainwright,North Slope,AK,99782,,ASCC,22,North Slope Borough Power & Light,26616,AK,RE,Electric Utility,1,N,,N,,N,,N,
26618,6140,Clarence Cannon,20642 Highway J,Monroe City,Ralls,MO,63456,Mark Twain Lake,SERC,22,"Associated Electric Coop, Inc",924,MO,RE,Electric Utility,1,N,,N,,N,,Y,SPP
26642,54541,Entenmanns Energy Center,55 Paradise Lane,Bay Shore,Suffolk,NY,11706,Municipality,NPCC,22,Long Island Power Authority,11171,NY,NR,IPP CHP,3,Y,93-5-0000,N,,N,,Y,NYISO
26644,50958,Nitram,5321 Hartford Stret,Tampa,Hillsborough,FL,33619,Municipality,FRCC,325311,,,,NR,Industrial,7,N,,N,,N,,,
26840,50544,Port Townsend Paper,100 Papermill Hill Rd,Port Townsend,Jefferson,WA,98368,Bigquilcene Riv &Prttowns Bay,WECC,322,PUD No 1 of Clallam County,3644,WA,NR,Industrial,7,N,,N,,N,,N,
26853,55151,La Paloma Generating LLC,1760 West Skyline Road,McKittrick,Kern,CA,93251,Municipality,WECC,22,Pacific Gas & Electric Co,14328,CA,NR,IPP,2,N,,N,,Y,00-75-000,Y,CAISO
26867,55265,Lake Benton II,150 Evans Street,Ruthton,Pipestone,MN,56170,,MRO,22,Northern States Power Co,13781,MN,NR,IPP,2,N,,N,,Y,99-9-000,Y,MISO
26940,50557,TXI Riverside Cement Power House,19409 Natl Trls Hwy,Oro Grande,San Bernardino,CA,92368,Well,WECC,32731,Southern California Edison Co,17609,CA,NR,Industrial,7,Y,90-175-000; 90-198-000,N,,N,,,
26977,10829,Coca Cola Bottling of New York,111 Fairview Park Dr,Elmsford,Westcherster,NY,10523,City,NPCC,22,,,,NR,IPP CHP,3,Y,89-186-001; 89-186-000,N,,N,,N,
26977,10830,Globe Manufacturing,456 Bedford Street,Fall River,Bristol,MA,2722,City,NPCC,314,,,,NR,Industrial,7,Y,93-173-000; 93-173-001,N,,N,,N,
26977,52198,JRW Associates LP,5129 N Orchard Park,Winton,Merced,CA,95388,City,WECC,311,Pacific Gas & Electric Co,14328,CA,NR,Industrial,7,Y,91-49-000,N,,N,,Y,CAISO
26977,52199,Ridgewood/Byron Power Partners,4901 Bruns Road,Byron,Alameda,CA,94514,Well/City,WECC,22,Pacific Gas & Electric Co,14328,CA,NR,IPP CHP,3,Y,90-133-000,N,,N,,Y,CAISO
27031,55231,Liberty Electric Power Plant,1000 Industrial Highway,Eddystone,Delaware,PA,19022,Municipality,RFC,22,PECO Energy Co,14940,PA,NR,IPP,2,N,,N,,Y,00-21-000,Y,PJM
27075,54242,Alvarado Hydro Facility,7100 Colorado Avenue,San Diego,San Diego,CA,92041,San Diego 2nd Aqueduct,WECC,22,San Diego Gas & Electric Co,16609,CA,NR,IPP,2,N,,Y,85-327-000,N,,Y,CAISO
27075,56615,Rancho Penasquitos,12298 Alemania Road,San Diego,San Diego,CA,92129,Aqueduct,WECC,22,San Diego Gas & Electric Co,16609,CA,NR,IPP,2,N,,N,,Y,12-572-002,Y,CAISO
27131,50146,Imperial Savannah LP,201 Oxnard Drive,Port Wentworth,Chatham,GA,31407,Floridan Aquifer,SERC,311,Georgia Power Co,7140,GA,NR,Industrial,7,N,,N,,N,,N,
27207,54632,Lyondell Chemical Lake Charles,I-10 West,Westlake,Calcasieu,LA,70602,Sabine River,SPP,325,,,,NR,Industrial,7,Y,88-220-000,N,,N,,,
27211,50141,Snider Industries,3311 Sue Belle Lake Road,Marshall,Harrison,TX,75671,Sue Belle Lake,SPP,321,Southwestern Electric Power Co,17698,OH,NR,Industrial,7,Y,83-158-000,N,,N,,Y,SPP
27321,55291,Mantua Creek Generating Plant,,,Gloucester,NJ,8066,GCUA,,22,,,,NR,IPP,2,N,,N,,Y,88-215-000; '99-215-000,,
27378,50241,Providence Memorial Hospital,2001 North Oregon St,El Paso,El Pas,TX,79902,,TRE,622,El Paso Electric Co,5701,TX,NR,Commercial,5,Y,86-395-000,N,,N,,N,
27470,2984,Keystone,23115 West Wekiwa Rd,Sand Springs,Tulsa,OK,74063,Arkansas River,SPP,22,Public Service Co of Oklahoma,15474,OH,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27470,2985,Robert S Kerr,29759 Powerhouse Rd,Keota,Sequoyah,OK,74955,Arkansas River,SPP,22,Southwestern Power Admin,17716,OK,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27470,2987,Webbers Falls,"Route 1, Box 145",Webbers Falls,Muskogee,OK,74470,Arkansas River,SPP,22,Southwestern Power Admin,17716,OK,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27470,3003,Fort Gibson,21391 State Hwy 251 A,Fort Gibson,Cherokee,OK,74434,Grand River,SPP,22,Southwestern Power Admin,17716,OK,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27470,3004,Tenkiller Ferry,"Route 1, Box 259P",Gore,Sequoyah,OK,74435,Illinois River,SPP,22,Southwestern Power Admin,17716,OK,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27470,6415,Broken Bow,PO Box 730,Broken Bow,McCurtain,OK,74728,Mountain Fork River,SPP,22,"Western Farmers Elec Coop, Inc",20447,OK,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27470,6416,Denison,351 Corps Rd,Denison,Grayson,TX,75020,Red River,TRE,22,Southwestern Power Admin,17716,OK,RE,Electric Utility,1,N,,N,,N,,Y,ERCOT
27470,6419,Eufaula Dam,"Route 2, Box 9500",Porum,Haskell,OK,74455,Canadian River,SPP,22,Southwestern Power Admin,17716,OK,RE,Electric Utility,1,N,,N,,N,,Y,SPP
27718,50803,Stone Container Seminole Mill,9649 East Port Rd,Jacksonville,Duval,FL,32218,"Deep Wells, Recycle",FRCC,322122,JEA,9617,FL,NR,Industrial,7,Y,88-220-000,N,,N,,N,
27727,52164,Mesa (ZPII),11001 Whitewater Canyon,North Palm Springs,Riverside,CA,92258,,WECC,22,,,,NR,IPP,2,,,,,,,,
27727,54375,K Site,13000 Jameson Road,Tehachapi,Kern,CA,93561,,WECC,22,,,,,Electric Utility,1,,,,,,,,
27762,50206,Vallecito Hydroelectric,13029 County Road 501,Bayfield,La Plata,CO,81122,Pine River,WECC,22,"La Plata Electric Assn, Inc",10539,CO,NR,IPP,2,N,,Y,"3174-012, 3174-000",N,,N,
27769,51030,Ocean State Power,1575 Sherman Farm Road,Harrisville,Providence,RI,2830,Blackstone River,NPCC,22,National Grid,13516,MA,NR,IPP,2,N,,N,,Y,93-16-000,Y,ISONE
27770,54324,Ocean State Power II,1575 Sherman Farm Road,Harrisville,Providence,RI,2830,Blackstone River,NPCC,22,National Grid,13516,MA,NR,IPP,2,N,,N,,Y,93-16-000,Y,ISONE
27813,38,Millers Ferry,1606 Powerhouse Road,Camden,Wilcox,AL,36726,Alabama River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
27813,690,J Woodruff,1 Dam Access RD,Chattahoochee,Gadsden,FL,32324,Lake Seminole Reservoir,FRCC,22,Florida Power & Light Co,6452,FL,RE,Electric Utility,1,N,,N,,N,,N,
27813,759,Buford,7000 Powerhouse Road,Buford,Forsyth,GA,30518,Chattahoochee River,SERC,22,Georgia Power Co,7140,GA,RE,Electric Utility,1,N,,N,,N,,N,
27813,760,Allatoona,585 Allatoona Dam Road,Cartersville,Bartow,GA,30120,Etowah River,SERC,22,Georgia Power Co,7140,GA,RE,Electric Utility,1,N,,N,,N,,N,
27813,761,Walter F George,1397 Powerhouse Rd,Shorteville,Clay,GA,31751,Chattahoochee River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
27813,6130,Carters,975 Powerhouse Road,Chatsworth,Murray,GA,30705,Coosawattee River,SERC,22,Georgia Power Co,7140,GA,RE,Electric Utility,1,N,,N,,N,,N,
27813,6131,Jones Bluff,1170 County Road 15 South,Selma,Autauga,AL,36703,Alabama River,SERC,22,Alabama Power Co,195,AL,RE,Electric Utility,1,N,,N,,N,,N,
27813,6133,West Point,500 Resource Management Drive,West Point,Troup,GA,31833,Chattahoochee River,SERC,22,Georgia Power Co,7140,GA,RE,Electric Utility,1,N,,N,,N,,N,
28086,56926,Painted Hills IV Wind,Hwy 62 and Dillon Rd.,Desert Hot Springs,RIVERSIDE,CA,92240,,WECC,22,Southern California Edison Co,17609,CA,NR,IPP,2,N,,N,,N,,Y,CAISO
28473,54205,Williams Field Services Kutz Plant,188 CR 4900,Bloomfield,San Juan,NM,87413,Municipality,WECC,324,,,,NR,Industrial,7,N,,N,,N,,N,
28473,54814,Milagro Cogeneration Plant,188 CR 4900,Bloomfield,San Juan,NM,87413,Municipality,WECC,22,City of Farmington,6204,NM,NR,IPP CHP,3,Y,95-15,N,,N,,N,
28541,56223,Alden Bailey Power Plant,92328 Taylorville Rd,Clatskanie,Clatsop,OR,97016,N/A,WECC,22,Bonneville Power Admin,1738,OR,RE,Electric Utility,1,N,,N,,N,,N,
28543,50381,Agawam Gate Station,Springfield Street,Agawam,Hampden,MA,1001,Agawam Public Works,NPCC,22,,,,NR,IPP,2,N,,N,,Y,99-214-000,,
28764,55075,Pine Bluff Energy Center,5301 Fairfield Road,Pine Bluff,Jefferson,AR,71601,Wells,SERC,22,Entergy Arkansas Inc,814,AR,NR,IPP CHP,3,Y,97-61-002; 98-61-002,N,,N,,N,
29040,50205,Williams Ignacio Gasoline Plant,3746 cr 307,durango,La Plata,CO,81303,Florida River,WECC,324,"La Plata Electric Assn, Inc",10539,CO,NR,Industrial,7,N,,N,,N,,N,
29116,55209,Brush IV,1500 S. Clayton,Brush,Morgan,CO,80723,City of Brush,WECC,22,Public Service Co of Colorado,15466,CO,NR,IPP,2,N,,N,,N,,,
29116,56041,Malburg,4963 Soto Street,Vernon,LOS ANGELES,CA,90058,Municipality,WECC,22,City of Vernon,19798,CA,NR,IPP,2,N,,N,,N,,Y,CAISO
29122,55293,Morgan Energy Center,1410 Red Hat Road,Decatur,Morgan,AL,35601,Tennessee River,SERC,22,Tennessee Valley Authority,18642,TN,NR,IPP CHP,3,Y,01-84-000,N,,N,,N,
29123,55335,Ontelaunee Energy Center,5115 Pottsville Pike,Reading,Berks,PA,19605,Reading Water Authority,MAAC,22,,,,,Electric Utility,1,,,,,,,,
29295,2020,Wells,101 lst St. SE,Wells,Faribault,MN,56097,Municipality,MRO,22,City of Wells,29295,MN,NR,IPP,2,N,,N,,N,,N,
29297,6702,Pelican,1120 Salmon Way,Pelican,Skagway-Yakutat,AK,99832,Pelican Creek,ASCC,22,Pelican Utility,29297,AK,RE,Electric Utility,1,N,,N,,N,,N,
29305,30,Madelia,24 Abbot Ave. S.W.,City of Madelia,WATONWAN,MN,56062,,MRO,22,City of Madelia,29305,MN,RE,Electric Utility,1,N,,N,,N,,N,
29615,50759,West End Dam Hydroelectric Project,695 West End Avenue,Carthage,Jefferson,NY,13619,Hydroelectric-River,NPCC,22,Niagara Mohawk Power Corp.,13573,NY,NR,IPP,2,N,,Y,84-353-000,N,,Y,NYISO
29729,55035,Davenport Water Pollution Control Plant,2606 South Concord Street,Davenport,Scott,IA,52802,Municipality,MRO,22132,MidAmerican Energy Co,12341,IA,NR,Commercial,5,N,,N,,N,,Y,MISO
29767,52021,ITT Cogen Facility,3430 South Federal St,Chicago,COOK,IL,60616,na,RFC,611,Commonwealth Edison Co,4110,IL,NR,Commercial,5,N,,N,,N,,Y,PJM
29820,50812,Stone Container Ontonagon Mill,1 Superior Way,Ontonagon,Ontonagon,MI,49953,Lake Superior,MRO,322122,Upper Peninsula Power Co,19578,MI,NR,Industrial,7,N,,N,,N,,Y,MISO
29833,55145,Edinburg Energy Project,,,Hidalgo,TX,78539,City Of Edinburg,ERCOT,22,,,,NR,IPP,2,N,,N,,N,,,
29849,55302,Wasatch Energy Systems Energy Recovery,3404 North 650 East,Layton,DAVIS,UT,84041,N/A,WECC,22,PacifiCorp,14354,OR,NR,IPP CHP,3,N,,N,,N,,N,
29851,55356,Redington Wind Farm,Route 16,Stratton,Franklin,ME,4947,N/A,NPCC,22,Central Maine Power Co,3266,ME,NR,IPP,2,N,,N,,N,,,
29868,563,South Meadow,Reserve Road Gate 40,Hartford,Hartford,CT,6162,Connecticut River,NPCC,22,Connecticut Light & Power Co,4176,CT,NR,IPP,2,N,,N,,N,,Y,ISONE
29878,1613,Somerset Station,1606 Riverside Avenue,Somerset,Bristol,MA,2726,Taunton River,NPCC,22,National Grid,13516,MA,NR,IPP,2,N,,N,,Y,99-123-000; 99-122-000,Y,ISONE
29925,10261,Enterprise Products Operating,10207 FM 1942,Mont Belvieu,Chambers,TX,77580,N/A,TRE,325,"CenterPoint Energy Houston Electric, LLC",8901,TX,NR,Industrial,7,Y,84-306-000,N,,N,,Y,ERCOT
29925,54221,Blanco Compressor Station,81 County Rd 4900,Bloomfield,San Juan,NM,87413,Air Cooled,WECC,2212,City of Farmington,6204,NM,NR,Industrial,6,N,,N,,N,,N,
29925,54705,Toca Plant,2404 Bayou Road,St. Bernard,St Bernard,LA,70085,N/A,SERC,325,Entergy Louisiana Inc,11241,LA,NR,Industrial,6,N,,N,,N,,N,
29925,56139,Neptune Gas Processing Plant,120 Trunkline,Centerville,St Mary,LA,70522,NA,SERC,325,Cleco Power LLC,3265,LA,NR,Industrial,7,Y,03-135-000,N,,N,,Y,SPP
29926,1590,Pilgrim Nuclear Power Station,600 Rocky Hill Road,Plymouth,Plymouth,MA,2360,Atlantic Ocean,NPCC,22,Boston Edison Co,1998,MA,NR,IPP,2,N,,N,,Y,99-187-000; 99-1004,Y,ISONE
29959,54537,Tenaska Ferndale Cogeneration Station,5105 Lake Terrell Road,Ferndale,Whatcom,WA,98248,Nooksack River,WECC,22,Puget Sound Energy Inc,15500,WA,NR,IPP CHP,3,Y,92-91-001,N,,N,,N,
30002,50398,International Paper Savanna Mill,West Lathrop,Savannah,Chatham,GA,31402,Wells,SERC,32213,Georgia Power Co,7140,GA,NR,Industrial,7,Y,80-23-000,N,,N,,N,
