,County,Latitude,Longitude,Plant Code,Zipcode
118,Stanly,35.418900,-80.091700,54894.0,28009
119,Stanly,35.394400,-80.075300,54895.0,28009
120,Davidson,,,54896.0,27239
121,Montgomery,35.485600,-80.175800,54897.0,28127
122,Clinton,44.519153,-73.464752,54391.0,12944
123,Harris,29.622500,-95.045800,10298.0,77507
124,Juniata,,,7128.0,16652
125,Jefferson,29.978760,-93.952294,54748.0,77651
126,Monroe,31.582500,-87.488900,10216.0,36470
127,San Joaquin,37.911900,-121.261100,10640.0,95206
128,Weakley,36.245400,-88.612000,55251.0,38229
129,Malheur,,,54612.0,97913
130,Dubuque,,,54710.0,52004
131,Allamakee,43.090600,-91.554200,54712.0,52162
132,Story,42.025000,-93.441666,54713.0,50201
133,Linn,42.030800,-91.706900,54714.0,52499
134,Marshall,42.056000,-92.897100,54715.0,50158
135,Linn,,,54716.0,52302
136,Linn,42.035600,-91.645800,54717.0,52498
137,Winneshiek,,,54718.0,52136
138,Linn,41.935000,-91.636100,54719.0,52404
139,Iowa,41.795800,-92.059200,54720.0,52301
140,Dubuque,42.530000,-90.684700,54735.0,52001
141,Linn,,,54929.0,52404
142,Linn,,,54930.0,52627
143,Linn,42.026400,-91.704200,54967.0,52499
144,Wright,42.838150,-93.603250,54968.0,50421
145,Linn,42.041667,-91.675000,55315.0,52233
146,Winnebago,,,55316.0,61104
147,Knox,38.671600,-87.293100,55224.0,47597
148,Armstrong,40.716389,-79.577222,50894.0,16226
149,Howard,32.273182,-101.422436,10569.0,79720
150,Alameda,,,10581.0,94550
151,Cook,,,10406.0,60658
152,Buena Vista,42.673300,-95.303900,1121.0,51002
153,Effingham,39.000000,-88.750000,7990.0,62411
154,Yoakum,33.009944,-102.756945,52122.0,79323
155,Aleutian Islands,,,54222.0,99685
156,Twin Falls,42.532800,-114.432800,10504.0,83301
157,Orange,41.408300,-74.373100,10549.0,10924
158,Niagara,43.083900,-79.005600,50472.0,14304
159,Tehama,,,50964.0,96063
160,Nassau,40.738900,-73.590600,10642.0,11590
161,Susquehanna,41.944653,-75.617823,10433.0,18847
162,Traill,47.437562,-97.063110,54210.0,58045
163,Clay,46.902600,-96.761120,54211.0,56560
164,Polk,47.764680,-96.633375,54212.0,56716
165,Pembina,48.593158,-97.176080,54213.0,58225
166,Polk,47.927202,-97.007153,54214.0,56721
167,Uinta,,,52129.0,82930
168,San Juan,,,55458.0,87413
169,Huntingdon,40.540042,-78.034628,10152.0,16669
170,Lebanon,40.350900,-76.365800,55337.0,17042
171,Montgomery,39.058600,-89.403100,861.0,62017
172,Jackson,37.657700,-89.511161,862.0,62942
173,Crawford,39.133300,-87.659700,863.0,62433
174,Morgan,39.823330,-90.567220,864.0,62665
175,Jasper,38.936100,-88.278100,6017.0,62448
176,Ford,,,55201.0,88001
177,Perry,38.111400,-89.346700,55202.0,62274
178,Marion,,,55204.0,60123
179,Kane,,,55438.0,60123
180,Boone,,,55447.0,65203
181,New London,41.475,-72.0688,10646.0,6365
182,Essex,40.7376,-74.1255,10643.0,7105
183,St Bernard,29.946800,-90.001800,54512.0,70032
184,Story,42.025800,-93.608900,1122.0,50010
185,Story,42.027200,-93.582800,6463.0,50010
186,Marion,39.561831,-80.163138,10151.0,26574
187,Delaware,39.826500,-75.388200,10746.0,19013
188,Essex,44.4122,-71.7228,10608.0,5904
189,Orange,,,7693.0,92805
190,Anchorage,61.222100,-149.866100,75.0,99501
191,Matanuska-Susitna,61.475211,-149.150090,77.0,99645
192,Anchorage,61.229713,-149.716744,6559.0,99504
193,Coos,44.3889,-71.1645,54639.0,3570
194,St Louis City,38.597755,-90.210671,10430.0,63118
195,Duval,,,10431.0,32229
196,Essex,,,54913.0,7101
197,Norfolk,42.110577,-71.453468,55211.0,2019
198,Worcester,42.059876,-71.515811,55212.0,1504
199,Harris,,,50253.0,77044
200,Cass,41.444400,-94.768900,1123.0,50020
201,Custer,41.352800,-99.497800,2214.0,68814
202,Harper,37.151700,-98.031100,1258.0,67003
203,Carroll,,,3772.0,24400
204,Carroll,,,3773.0,24400
205,Pulaski,,,3774.0,24300
206,Russell,,,3775.0,24200
207,Giles,,,3776.0,24100
208,Campbell,,,3777.0,24600
209,Roanoke,,,3778.0,24000
210,Campbell,,,3779.0,24500
211,Franklin,,,3780.0,24200
212,Putnam,,,3935.0,25200
213,Kanawha,,,3936.0,25100
214,Mason,,,6264.0,25300
215,Kanawha,,,6560.0,25100
216,Kanawha,,,6561.0,25300
217,Kanawha,,,6562.0,25200
218,Ellis,32.430200,-97.053700,55091.0,76065
219,Outagamie,44.271700,-88.301100,55558.0,54113
220,San Diego,32.735300,-117.208300,10810.0,92140
221,San Diego,32.679269,-117.122447,10811.0,92136
222,San Diego,,,10812.0,92139
223,Muskingum,,,55877.0,43830
224,Appomattox,,,10155.0,23803
225,Clay,38.699600,-88.539200,55417.0,62839
226,Cass,,,55826.0,64080
227,Trempealeau,44.252400,-91.503400,4100.0,54612
228,Darke,39.986100,-84.550300,2902.0,45304
229,Wilson,37.500000,-95.800000,10857.0,66736
230,Lowndes,30.800000,-83.200000,10859.0,31601
231,Clinton,,,10860.0,61727
232,Polk,41.624438,-93.584515,10861.0,50316
233,Lancaster,40.866463,-96.614486,10862.0,68507
234,Blue Earth,44.187066,-93.992420,10863.0,56001
235,Linn,41.922100,-91.687500,10864.0,52406
236,Macon,39.870074,-88.890756,10865.0,62521
237,Peoria,40.677188,-89.604911,10866.0,61602
238,Will,,,54309.0,60475
239,Knox,40.900000,-90.333300,54310.0,61401
240,Pulaski,34.700000,-92.199722,54311.0,72203
241,Christian,39.599722,-89.300000,54312.0,62568
242,Brunswick,33.939700,-77.990500,54316.0,28461
243,Plymouth,42,-71.2,55046.0,2048
244,Pembina,48.908944,-97.886521,55638.0,58282
245,Penobscot,,,10053.0,4459
246,Greenville,34.702021,-82.462102,10787.0,29673
247,Grayson,36.715103,-80.985621,10798.0,24330
248,Laurens,34.404006,-82.233581,10801.0,29692
249,Lafayette,42.701900,-89.869700,7810.0,53504
250,Hawaii,18.992222,-155.668056,54390.0,96772
251,Cochise,32.060300,-109.893100,160.0,85606
252,Yavapai,34.351111,-111.700556,112.0,85544
253,Navajo,34.939400,-110.303300,113.0,86032
254,Cochise,,,114.0,85245
255,Yavapai,,,115.0,85544
256,Maricopa,33.422500,-111.912200,116.0,85281
257,Maricopa,33.441700,-112.158300,117.0,85043
258,Pinal,32.551700,-111.300000,118.0,85245
259,Yuma,32.721400,-114.710600,120.0,85364
260,San Juan,36.690000,-108.481400,2442.0,87416
261,Maricopa,33.388100,-112.861700,6008.0,85036
262,Franklin,35.462382,-93.804926,201.0,72949
263,Woodruff,35.260102,-91.363426,202.0,72006
264,Ouachita,33.564800,-92.791700,203.0,71701
265,Crawford,35.351361,-94.294349,7040.0,72956
266,Conway,35.127591,-92.790273,7135.0,72110
267,Desha,33.986501,-91.315788,7246.0,71639
268,Hempstead,33.609400,-93.792400,7825.0,71838
269,Garland,34.442500,-93.026200,166.0,71901
270,Pulaski,34.753500,-92.198700,167.0,72117
271,St Francis,34.980600,-90.872200,168.0,72335
272,Lafayette,33.359200,-93.464900,169.0,71860
273,Hot Spring,34.434100,-92.904900,170.0,72105
274,Pulaski,34.635997,-92.409602,171.0,72103
275,Phillips,34.462900,-90.598700,173.0,72342
276,Hot Spring,34.427200,-92.894100,174.0,72104
277,Jefferson,34.422800,-92.140600,6009.0,72132
278,Independence,35.678442,-91.408761,6641.0,72562
279,Pope,35.311000,-93.235100,8055.0,72801
280,Wilbarger,,,127.0,76384
281,Calhoun,,,3436.0,77978
282,Maverick,28.829535,-100.552234,3437.0,78852
283,Hidalgo,26.222222,-98.394444,3438.0,78572
284,Webb,27.566700,-99.508900,3439.0,78041
285,Nueces,27.850000,-97.616700,3440.0,78410
286,Nueces,27.819412,-97.419203,3441.0,78403
287,Cameron,26.133056,-97.638888,3442.0,78586
288,Victoria,,,3443.0,77903
289,Taylor,,,3517.0,75951
290,Pecos,,,3520.0,79735
291,Hardeman,,,3521.0,79252
292,Coke,,,3523.0,79506
293,Haskell,,,3524.0,79521
294,Presidio,,,3525.0,79845
295,Crockett,,,3526.0,79740
296,Tom Green,,,3527.0,76902
297,Wilbarger,,,3623.0,76384
298,Jones,,,4938.0,79601
299,Nueces,27.606400,-97.311700,4939.0,78418
300,Goliad,28.712800,-97.214167,6178.0,77960
301,Wichita,,,55255.0,75240
302,Los Angeles,33.816647,-118.244841,50216.0,90749
303,Custer,41.421928,-100.195610,2216.0,69120
304,Fulton,33.761100,-84.389200,54877.0,30303
305,Cook,,,54455.0,60603
306,Richmond,33.487881,-81.992520,54322.0,30904
307,Monmouth,40.2233,-74.09,10157.0,7754
308,Grafton,,,7395.0,3217
309,Gwinnett,,,54881.0,30096
310,Clark,37.193787,-99.763073,1259.0,67831
311,Jefferson,29.964938,-93.891283,10568.0,77642
312,Pitkin,39.363087,-106.821930,7458.0,81611
313,Nueces,,,55449.0,78380
314,Ellis,,,55450.0,75125
315,New Madrid,36.514700,-89.561700,2167.0,63869
316,Randolph,39.552200,-92.638100,2168.0,65244
317,Putnam,,,6563.0,72315
318,Dunklin,36.585200,-90.177900,7604.0,63933
319,Stoddard,36.868206,-89.840173,7749.0,63846
320,Nodaway,40.287700,-94.791300,7754.0,64434
321,Mayes,36.222058,-95.277064,7757.0,74362
322,Johnson,38.753800,-93.998300,7848.0,64040
323,Fulton,,,54284.0,30005
324,Clarke,,,55709.0,30607
325,Montgomery,,,55028.0,37042
326,Garfield,39.517300,-107.729900,10755.0,81650
327,Cape May,39.2908,-74.6364,2378.0,8223
328,Salem,39.6831,-75.5083,2384.0,8070
329,Attala,33.014700,-89.675300,55220.0,39160
330,Cass,41.409000,-95.000000,1124.0,50022
331,Harris,29.717200,-95.190800,10638.0,77506
332,Jefferson,29.866497,-93.965150,55309.0,77640
333,Fairbanks North Star,64.847743,-147.735063,79.0,99701
334,Harper,37.241900,-98.233600,1260.0,67009
335,Orleans,30.000000,-90.000000,10639.0,70129
336,Marshall,37.048333,-88.353889,55308.0,42029
337,Los Angeles,33.780300,-118.240000,55557.0,90744
338,Nemaha,40.388300,-95.846400,2215.0,68305
339,Butler,37.678454,-96.971930,1261.0,67010
340,Butler,37.686085,-96.964982,6791.0,67010
341,Woodruff,,,181.0,72006
342,Rockingham,,,54801.0,27247
343,Oxford,,,50999.0,4964
344,Mower,43.670638,-92.969284,1960.0,55912
345,Mower,43.701400,-92.962600,1961.0,55912
346,Travis,30.303300,-97.612800,3548.0,78724
347,Travis,30.250000,-97.716667,3549.0,78702
348,Travis,30.209800,-97.612900,7900.0,78617
349,Mercer,,,54367.0,8603
350,Travis,,,54940.0,78751
351,Orange,33.688721,-117.834793,50200.0,92614
