UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVAREA
1991,10487,International Falls Power,Koochiching,MN,56649,Rainy River,MRO,322,Minnesota Power Inc
1994,466,Boulder Canyon Hydro,Denver,CO,80306,Middle Boulder Creek,WECC,22,Public Service Co of Colorado
1994,54679,Boulder City Lakewood Hydro,Boulder,CO,80306,North Boulder Creek,WECC,22,Public Service Co of Colorado
1994,54680,Boulder City Betasso Hydroelectric Plant,Boulder,CO,80306,Middle Boulder Creek,WECC,22,Public Service Co of Colorado
1994,55931,Boulder City Silver Lake Hydro,Boulder,CO,80306,North Boulder Creek,WECC,22,Public Service Co of Colorado
2010,3665,Bountiful City,Davis,UT,84010,Municipality,WECC,22,
2010,4263,Echo Dam,Summit,UT,84061,Echo Reservoir,WECC,22,
2010,4264,Joes Valley Dam,Emery,UT,84010,Joes Valley Reservoir,WECC,22,
2010,7132,Pine View Dam,Weber,UT,84401,Ogden River,WECC,22,
2016,10556,Boott Hydropower,Middlesex,MA,1853,Merrimack,NPCC,22,New England Power Company
2029,10596,Borden Chemicals Plastics Cogen,Ascension,LA,70734,Treated River Water,SERC,325,Entergy Gulf States Inc
2048,10279,Kansas River Project,Douglas,KS,66044,Kansas River,SPP,22,"Westar Energy, Inc."
2053,54216,U S Alliance Coosa Pines,Talladega,AL,35044,Coosa River,SERC,322,Alabama Power Co
2087,55780,Bowie Power Station LLC,Cochise,AZ,85603,Wells,WECC,22,Tucson Electric Power Co
2091,52031,Alliance Refinery,Plaquemines,LA,70037,Mississippi River,SERC,32411,Entergy Louisiana Inc
2144,1660,Potter Station 2,Norfolk,MA,2184,Dry Cooling Tower,NPCC,22,
2171,55357,Brazos Valley Generating Facility,Fort Bend,TX,77481,Brazos River,ERCOT,22,"CenterPoint Energy Houston Electric, LLC"
2172,3627,North Texas,Parker,TX,76087,Lake Weatherford,ERCOT,22,
2172,3628,R W Miller,Palo Pinto,TX,76484,Lake Palo Pinto,ERCOT,22,
2172,54817,Johnson County,Johnson,TX,76033,Municipality,ERCOT,22,
2172,55230,Jack Energy Facility,Jack,TX,76458,Lake Bridge Port,ERCOT,22,
2176,3557,Morris Sheppard,Palo Pinto,TX,76449,Brazos River,ERCOT,22,
2179,10555,Brassua Hydroelectric Project,Somerset,ME,4478,Moose River,NPCC,22,Central Maine Power Co
2184,54866,Bradford Dyeing Association,Washington,RI,2808,Private Well,NPCC,314,The Narragansett Electric Co
2188,934,Breese,Clinton,IL,62230,Municipality,MAIN,22,
2220,3666,Brigham City,Box Elder,UT,84302,Mantua Reservoir,WECC,22,
2226,10290,Bridgewater Power LP,Grafton,NH,3217,Wells,NPCC,22,Public Service Co of NH
2232,55042,Bridgeport Energy Project,Fairfield,CT,6604,Bridgeport Harbor,NPCC,22,United Illuminating Co
2253,55445,Brookhaven Energy Project,Suffolk,NY,11980,N/A,NPCC,22,Long Island Power Authority
2255,10317,Baylor University Cogen,McLennan,TX,76706,,ERCOT,611,TXU Electric Delivery Company
2265,54829,Bristol Myers Squibb,Middlesex,NJ,8903,Municipality,MAAC,325,Public Service Elec & Gas Co
2277,2221,Broken Bow,Custer,NE,68822,,MRO,22,
2287,1128,Brooklyn,Poweshiek,IA,52211,Municipality,MAIN,22,
2287,7922,North Plant,Poweshiek,IA,52211,Municipality,MAIN,22,
2295,55425,Brockton Power,Plymouth,MA,2301,,NPCC,22,Massachusetts Electric Co
2313,54914,Brooklyn Navy Yard Cogeneration,Kings,NY,11205,East River,NPCC,22,Consolidated Edison Co-NY Inc
