UTILCODE,PLNTCODE,PLNTNAME,CNTYNAME,STATE,PLNTZIP,WATSOURCE,NERC,NAICS,SERVAREA
3113,2121,Carthage,Jasper,MO,64836,Municipality,SPP,22,
3123,10028,Felt Hydroelectric Plant,Teton,ID,83424,Teton River,WECC,22,PacifiCorp
3131,55404,Carville Energy LLC,Iberville,LA,70776,Mississippi River,SERC,22,Entergy Louisiana Inc
3137,1129,Cascade,Dubuque,IA,52033,Municipality,MAIN,22,
3153,56053,City of Casey,Clark,IL,62420,,MAIN,22,
3156,4107,Cashton,Monroe,WI,54619,Wells,MRO,22,
3179,50935,Caterpillar,Tippecanoe,IN,47905,N/A,ECAR,339,PSI Energy Inc
3203,1130,Gas Turbine,Black Hawk,IA,50613,NA,MRO,22,
3203,1131,Streeter Station,Black Hawk,IA,50613,Wells,MRO,22,
3213,10171,5 in 1 Dam Hydroelectric,Linn,IA,52402,Cedar River,MRO,22,Interstate Power and Light Co
3220,50980,Siphon Power Project,Deschutes,OR,97702,Deschutes River,WECC,22,PacifiCorp
3221,52147,C P Kelco San Diego Plant,San Diego,CA,92113,Municipality,WECC,311,San Diego Gas & Electric Co
3227,491,Center,Saguache,CO,81125,Municipality-Wells,WECC,22,
3242,2169,Chamois,Osage,MO,65024,Missouri River,SPP,22,
3249,579,High Falls,Ulster,NY,12440,Rondout Creek,NPCC,22,
3249,2481,Dashville,Ulster,NY,12471,Walkill River,NPCC,22,
3249,2483,Neversink,Sullivan,NY,12740,Neversink Reservoir,NPCC,22,
3249,2485,South Cairo,Greene,NY,12413,,NPCC,22,
3249,2486,Sturgeon,Ulster,NY,12486,Walkill River,NPCC,22,
3249,2487,West Coxsackie,Greene,NY,12051,,NPCC,22,
3252,7384,Indian Trails Cogen 1,Tazewell,IL,61554,Municipality,MAIN,325,
3252,7895,Hallock,Peoria,IL,61523,None,MAIN,22,
3252,7896,Kickapoo,Logan,IL,62656,None,MAIN,22,
3255,436,Devil Canyon,San Bernardino,CA,92407,Water From Penstocks Ca Aquedu,WECC,22,
3255,437,Edward C Hyatt,Butte,CA,95966,Water From Penstocks Oroville,WECC,22,
3255,438,Thermalito,Butte,CA,95966,Wtr Fr Penstocks Thermal Foreb,WECC,22,
3255,448,W R Gianelli,Merced,CA,95322,Wtr Fr Penstocks San Luis Res,WECC,22,
3255,905,Alamo,Los Angeles,CA,93553,Water From Penstocks Ca Aquedu,WECC,22,
3255,6196,W E Warne,Los Angeles,CA,93243,Water From Penstocks Ca Aquedu,WECC,22,
3255,7072,Mojave Siphon,San Bernardino,CA,92345,California Aqueduct,WECC,22,
3255,7129,Thermalito Diverson Dam,Butte,CA,95966,Penstocks Feather River,WECC,22,
3258,1206,Summit Lake,Union,IA,50801,Green Valley Lake,MRO,22,
3258,1218,Fair Station,Muscatine,IA,52761,Mississippi River,MRO,22,
3265,51,Dolet Hills,De Soto,LA,71052,Toledo Bend Lake,SPP,22,
3265,1400,Teche,St Mary,LA,70514,Charenton Canal,SPP,22,
3265,1435,Franklin,St Mary,LA,70538,,SPP,22,
3265,6190,Rodemacher,Rapides,LA,71447,Rodemacher Lake,SPP,22,
3271,785,Kingsley,Keith,NE,69153,North Platte River,MRO,22,
3271,2227,Jeffrey,Lincoln,NE,69123,Platte River,MRO,22,
3271,2228,Johnson 1,Gosper,NE,68850,Platte River,MRO,22,
3271,2229,Johnson 2,Gosper,NE,68850,Platte River,MRO,22,
3283,50316,Bunge North America East LLC,Adams,IN,46733,Municipality,ECAR,311,Indiana Michigan Power Co
3292,788,East Barnet,Caledonia,VT,5821,Passumpsic River,NPCC,22,
3292,3708,Ascutney,Windsor,VT,5030,Well,NPCC,22,
3292,3709,Smith,Orange,VT,5033,Waits River,NPCC,22,
3292,3710,Cavendish,Windsor,VT,5142,Black River,NPCC,22,
3292,3711,Clark Falls,Chittenden,VT,5468,Lamoille River,NPCC,22,
3292,3712,Fairfax Falls,Franklin,VT,5454,Lamoille River,NPCC,22,
3292,3714,Glen,Rutland,VT,5701,East Creek,NPCC,22,
3292,3716,Lower Middlebury,Addison,VT,5753,Otter Creek,NPCC,22,
3292,3717,Milton,Chittenden,VT,5468,Lamoille River,NPCC,22,
3292,3720,Peterson,Chittenden,VT,5468,Lamoille River,NPCC,22,
3292,3722,Pittsford,Rutland,VT,5763,Chittenden Reservoir,NPCC,22,
3292,3723,Rutland,Rutland,VT,5701,Otter Creek,NPCC,22,
3292,3724,Salisbury,Addison,VT,5769,Leicester River,NPCC,22,
3292,3725,Silver Lake,Addison,VT,5769,Sucker Brook,NPCC,22,
3292,3726,St Albans,Franklin,VT,5478,Cooling Ponds,NPCC,22,
3292,3728,Weybridge,Addison,VT,5753,Otter Creek,NPCC,22,
3292,6456,Carver Falls,Washington,NY,12887,Poultney River,NPCC,22,
3295,3878,Yelm,Thurston,WA,98597,Nisqually River,WECC,22,
3299,54804,Central Wayne Air Quality,Wayne,MI,48125,Municipality,ECAR,22,Detroit Edison Co
3303,10333,Central Power & Lime,Hernando,FL,34605,Cooling Ponds,FRCC,22,Progress Energy Florida Inc
3304,56190,Central Michigan University,Isabella,MI,48859,Wells,ECAR,611,Consumers Energy Co
3329,7397,Falling Spring,Franklin,PA,17201,Closed Loop - City Water,ECAR,22,
3329,55997,Orchard Park,Franklin,PA,17201,Closed Loop - City Water,ECAR,22,
3330,55426,Cedar Power Project,Liberty,TX,77535,Lake Houston,ERCOT,22,"CenterPoint Energy Houston Electric, LLC"
3335,55537,Cargill Hammond,Lake,IN,46320,Lake Michigan,ECAR,311,Northern Indiana Pub Serv Co
3355,1267,Chanute 1,Neosho,KS,66720,Municipality,SPP,22,
3355,1268,Chanute 2,Neosho,KS,66720,Municipality,SPP,22,
3355,7018,Chanute 3,Neosho,KS,66720,Municipality,SPP,22,
3370,55299,Channel Energy Center,Harris,TX,77506,Coastal Water Authority,ERCOT,22,"CenterPoint Energy Houston Electric, LLC"
3373,2230,Chappell,Deuel,NE,69129,Municipality,MRO,22,
3401,50363,Mesquite Resource Recovery Project,Imperial,CA,92251,Colorado River,WECC,22,Imperial Irrigation District
3413,3883,Rocky Reach,Chelan,WA,98801,Columbia River,WECC,22,
3413,6200,Rock Island,Chelan,WA,98801,Columbia River,WECC,22,
3413,6424,Chelan,Chelan,WA,98801,Chelan River,WECC,22,
3413,8021,Diesel Generator Farm,Chelan,WA,98801,,WECC,22,
3432,10243,Celanese Engineering Resin,Nueces,TX,78343,Municipality/ Wells,ERCOT,325211,AEP Texas Central Company
3443,10173,Cherokee Falls,Cherokee,SC,29705,Buros Crek,SERC,22,"Broad River Electric Coop, Inc"
3452,10213,El Segundo Cogen,Los Angeles,CA,90245,Municipality,WECC,32411,Southern California Edison Co
3453,10194,Hawaii Cogen,Honolulu,HI,96707,Municipality,HICC,32411,Hawaiian Electric Co Inc
3455,55857,Oak Point Cogen,Plaquemines,LA,70037,,SERC,325,Entergy Louisiana Inc
3456,52084,Pascagoula Cogen,Jackson,MS,39581,Municipality,SERC,32411,Mississippi Power Co
3468,54245,Nelson Plant Generators,Yavapai,AZ,86434,,WECC,2123,"Mohave Electric Coop, Inc"
3473,10903,Lockport Powerhouse,Will,IL,60441,Chicago Sanitary Ship Canal,MAIN,22,Commonwealth Edison Co
3476,10175,Childrens Hospital,San Diego,CA,92123,City Of San Diego,WECC,622,San Diego Gas & Electric Co
3477,7396,Front Street,Hampden,MA,1021,Municipality,NPCC,22,
3486,2122,Chillicothe,Livingston,MO,64601,Municipality,SPP,22,
3490,10806,Crystal Springs,Twin Falls,ID,83328,"Twin Fall, Irrigation District",WECC,22,Idaho Power Co
3522,96,Beluga,Kenai Peninsula,AK,99682,Wells,ASCC,22,
3522,6291,Cooper Lake,Kenai Peninsula,AK,99572,Cooper Lake,ASCC,22,
3522,6292,Bernice Lake,Kenai Peninsula,AK,99635,,ASCC,22,
3522,6293,International,Anchorage,AK,99518,,ASCC,22,
3537,55497,CinCap Martinsville,Henry,VA,24112,Martinsville Public Water,ECAR,22,American Electric Power Co Inc
3542,2830,Walter C Beckjord,Clermont,OH,45200,Ohio River,ECAR,22,
3542,2831,Dicks Creek,Butler,OH,45100,N/A,ECAR,22,
3542,2832,Miami Fort,Hamilton,OH,45100,Ohio River,ECAR,22,
3542,6018,East Bend,Boone,KY,41100,Ohio River,ECAR,22,
3542,6019,W H Zimmer,Clermont,OH,45200,Ohio River,ECAR,22,
3542,7158,Woodsdale,Butler,OH,45100,N/A,ECAR,22,
3542,55224,Wheatland Generating Facility,Knox,IN,47597,Black Beauty Lake,ECAR,22,PSI Energy Inc
3549,55694,Choctaw Gas Generation Project,Choctaw,MS,39735,Deep Wells,SERC,22,Tennessee Valley Authority
3559,55394,CinCap IX LLC,Kenton,KY,41010,,ECAR,22,Union Light Heat & Power Co
3560,55666,Chickahominy Power LLC,Charles City,VA,23030,,SERC,22,Virginia Electric & Power Co
3566,55500,CinCap Oraville,Jackson,IL,62966,Kincaid Reeds Creek Conservanc,MAIN,22,Southern Illinois Power Coop
3571,55662,Chehalis Generating Facility,Lewis,WA,98532,Municipality,WECC,22,Bonneville Power Admin
3593,55076,Red Hills Generating Facility,Choctaw,MS,39735,Wells,SERC,22,Tennessee Valley Authority
3599,992,CC Perry K,Marion,IN,46225,"W. Fork, White River",ECAR,22,Indianapolis Power & Light Co
3608,52028,Puna Geothermal Venture I,Hawaii,HI,96778,Wells And Air Cooled,HICC,22,Hawaii Electric Light Co Inc
3616,54640,Lakewood Cogen LP,Ocean,NJ,8701,Wells,MAAC,22,Jersey Central Power & Lt Co
3635,56023,Zilwaukee Generating Station,Saginaw,MI,48604,City,ECAR,22,Consumers Energy Co
3643,55703,Memphis Refinery,Shelby,TN,38101,Municipality,SERC,32411,Memphis CIty of
3653,54816,Riverwood 100 Building,Cobb,GA,30339,,SERC,514,Georgia Power Co
3660,7605,River Road Gen Plant,Clark,WA,98660,Wells,WECC,22,
3662,10275,Florida's Natural Growers,Polk,FL,33859,N/A,FRCC,311,Progress Energy Florida Inc
3663,50156,Bear Creek,Shasta,CA,96088,Southfork Bear Creek,WECC,22,Pacific Gas & Electric Co
3670,54667,Chino Mines,Grant,NM,88043,Wells,WECC,2122,Texas-New Mexico Power Co
3682,54387,Weeks Falls,King,WA,98045,S Fork Snoqualmie River,WECC,22,Puget Sound Energy Inc
3692,10408,Clark University,Wocester,MA,1610,Municipal,NPCC,611,Massachusetts Electric Co
3702,2059,L L Wilkins,Coahoma,MS,38614,Wells,SPP,22,
3702,2060,Third Street,Coahoma,MS,38614,Wells,SPP,22,
3702,55395,Crossroads Energy Center,Coahoma,MS,38614,,SPP,22,
3710,1270,Clay Center,Clay,KS,67432,Municipality,SPP,22,
3719,10276,Clement Dam Hydro LLC,Belknap,NH,3276,Winnipesaukee River,NPCC,22,Public Service Co of NH
3723,55491,Flora Generating Station,Clay,IL,62839,,MAIN,22,Central Illinois Pub Serv Co
3737,1396,Evangeline Power Station,Evangeline,LA,71367,Bayou Cocodrie,SPP,22,Cleco Power LLC
3762,2906,Collinwood,Cuyahoga,OH,44110,,ECAR,22,
3762,2908,Lake Road,Cuyahoga,OH,44114,Lake Erie,ECAR,22,
3762,2909,West 41st Street,Cuyahoga,OH,44113,,ECAR,22,
3770,50921,Co-Gen LLC,Grant,OR,97869,John Day River,WECC,22,"Oregon Trail El Cons Coop, Inc"
3775,10741,Clear Lake Cogeneration Ltd,Harris,TX,77507,Municipality,ERCOT,22,"CenterPoint Energy Houston Electric, LLC"
3790,55152,Bank of America Plaza,Fulton,GA,30308,,SERC,514199,Georgia Power Co
3807,10849,Silver Bay Power,Lake,MN,55614,Lake Superior,MRO,331,Minnesota Power Inc
3813,1818,Clinton,Lenawee,MI,49236,N/A,ECAR,22,
3828,1868,Dafter,Chippewa,MI,49724,Wells,MAIN,22,
3828,6369,Detour,Chippewa,MI,49725,Municipality,MAIN,22,
3836,10777,HL Power,Lassen,CA,96136,Wells,WECC,22,Lassen Municipal Utility District
3836,10822,Grayling Generating Station,Crawford,MI,49738,Wells,ECAR,22,Consumers Energy Co
3836,50736,Exeter Energy Project LP,Windham,CT,6377,Sterling Municipal Water Co,NPCC,22,Connecticut Light & Power Co
3836,54751,Genesee Power Station LP,Genesee,MI,48505,Wells,ECAR,22,Consumers Energy Company
3837,10525,Craven County Wood Energy LP,Craven,NC,28562,Wells or Craven Cty Wtr Dept,SERC,22,Progress Energy Carolinas Inc
3838,55101,Kalamazoo River Generating Station,Kalamazoo,MI,49011,Municipality,ECAR,22,Consumers Energy Company
3838,55102,Livingston Generating Station,Otsego,MI,49753,Wells,ECAR,22,Consumers Energy Company
3842,55169,Fox River Peaking Station,Kane,IL,60119,,MAIN,22,Commonwealth Edison Co
3842,55431,Augusta Park Energy Center,Washtenaw,MI,48160,Yasilanti Water Authority,ECAR,22,The Detroit Edison Co
3842,55432,Crossroads Energy Center,Coahoma,MS,38614,City Of Clarksdale,SERC,22,Clarksdale Public Utilities
3842,55434,Belle Glade Energy Center,Palm Beach,FL,33430,"Reserve Wtr, Wat Wtr Trtmt Plt",FRCC,22,Florida Power & Light Company
3842,55435,Manatee Energy Center,Manatee,FL,34220,Reserve Waste Water Trtmt Plt,FRCC,22,Florida Power & Light Company
3842,55436,Broward Energy Center,Broward,FL,33441,Waste Water Treatment Plant,FRCC,22,Florida Power & Light Company
3842,55673,Boulder Valley Energy Center,Elko,NV,89822,,WECC,22,Sierra Pacific Power Co
3852,50131,Coalinga Cogeneration,Fresno,CA,93210,Municipality,WECC,22,Pacific Gas & Electric Co
3888,55443,Cogentrix Lawrence,Lawrence,IN,47446,,ECAR,22,PSI Energy Inc
3890,50006,Linden Cogen Plant,Union,NJ,7036,Municipality,MAAC,22,Public Service Elec & Gas Co
3892,1271,Coffeyville,Montgomery,KS,67337,Municipality,SPP,22,
3894,10301,Colonial Sugar Refinery,St James,LA,70052,Mississippi River,SERC,311,Entergy Louisiana Inc
3900,1132,Coggon,Linn,IA,52218,,MRO,22,
3901,10071,Cogentrix Virginia Leasing Corporation,Portsmouth City,VA,23703,Wells,SERC,22,Virginia Electric & Power Co
3913,1272,Colby,Thomas,KS,67701,Wells,SPP,22,
3915,1819,Coldwater,Branch,MI,49036,Municipality,ECAR,22,
3923,3566,Coleman,Coleman,TX,76834,Lake Coleman,ERCOT,22,
3930,50993,Co-Gen II LLC,Douglas,OR,97469,N/A,WECC,22,PacifiCorp
3941,54081,Cogentrix of Richmond,City of Richmond,VA,23234,James River,SERC,22,Virginia Electric & Power Co
3942,10384,Cogentrix of Rocky Mount,Edgecombe,NC,27809,Municipality,SERC,22,Virginia Electric & Power Co
3953,10661,Collins Pine Project,Plumas,CA,96020,Feather River,WECC,321,Pacific Gas & Electric Co
3989,492,Martin Drake,El Paso,CO,80903,Municipality,WECC,22,
3989,493,George Birdsall,El Paso,CO,80907,Municipality,WECC,22,
3989,494,Manitou Springs,El Paso,CO,80829,Municipality,WECC,22,
3989,495,Ruxton Park,El Paso,CO,80829,Municipality,WECC,22,
3989,7233,Tesla,El Paso,CO,80840,Municipality,WECC,22,
3989,7730,SECC,El Paso,CO,80907,N/A,WECC,22,
3989,8219,Ray D Nixon,El Paso,CO,80817,Wells,WECC,22,
3989,55283,Front Range Power Project,El Paso,CO,80817,Air Cooled,WECC,22,
3990,7179,Headgate Rock,La Paz,AZ,85344,Colorado River,WECC,22,
3998,10300,Mecca Plant,Riverside,CA,92254,Wells,WECC,22,Southern California Edison Co
4028,55386,Columbia Energy Center,Calhoun,SC,29053,Congaree River (Indirectly),SERC,22,South Carolina Electric & Gas Co
4034,52166,Collins Facility,Hampden,MA,1095,Chicopee River,NPCC,22,Massachusetts Electric Co
4045,2123,Columbia,Boone,MO,65205,Wells,MAIN,22,
4053,55962,COB Energy Facility,Klamath,OR,97623,Private Well,WECC,22,Bonneville Power Admin
4055,10682,Colorado Power Partners,Morgan,CO,80723,Municipality,WECC,22,Public Service Co of Colorado
4062,2840,Conesville,Coshocton,OH,43811,Scioto River,ECAR,22,
4062,2843,Picway,Pickaway,OH,43137,Scioto River,ECAR,22,
4062,55503,AEP Waterford Facility,Washington,OH,45786,Muskingum River,ECAR,22,
4065,312,Refuse & Coal,Franklin,OH,43200,Quarry Pond,ECAR,22,
4065,7279,O'Shaughnessy Hydro,Franklin,OH,43017,O'Shaughnessy Reservoir,ECAR,22,
4065,56420,Renick Run 03-04,Franklin,OH,43223,,ECAR,22,
4065,56421,ST-8 0005,Franklin,OH,43223,,ECAR,22,
4065,56422,ST- 1A 0006,Franklin,OH,43215,,ECAR,22,
4065,56423,Dodge Park 0007,Franklin,OH,43215,,ECAR,22,
4102,10600,Union Tribune Publishing,San Diego,CA,92108,NA,WECC,323,San Diego Gas & Electric Co
4110,7756,NA 8,Cook,IL,60605,,MAIN,22,
4119,54457,Hewlett Packard Alpharette,Fulton,GA,30004,,SERC,514199,Georgia Power Co
4129,54144,Piney Creek Project,Clarion,PA,16214,Clarion River,MAAC,22,Pennsylvania Electric Co
4158,2379,Carlls Corner,Cumberland,NJ,8313,,MAAC,22,Atlantic City Electric Co
4158,2380,Cedar Station,Ocean,NJ,8050,,MAAC,22,Atlantic City Electric Co
4158,2382,Middle Station,Cape May,NJ,8242,,MAAC,22,Atlantic City Electric Co
4158,2383,Missouri Avenue,Atlantic,NJ,8401,,MAAC,22,Atlantic City Electric Co
4158,2384,Deepwater,Salem,NJ,8070,Delaware River,MAAC,22,Atlantic City Electric Co
4158,5083,Cumberland,Cumberland,NJ,8332,,MAAC,22,Atlantic City Electric Co
4158,7288,Sherman Avenue,Cumberland,NJ,8360,,MAAC,22,Atlantic City Electric Co
4158,8008,Micketon Station,Gloucester,NJ,8332,,MAAC,22,Atlantic City Electric Co
4161,602,Brandon Shores,Anne Arundel,MD,21226,Patapsco River,MAAC,22,Baltimore Gas & Electric Co
4161,1552,C P Crane,Baltimore,MD,21220,Seneca Creek,MAAC,22,Baltimore Gas & Electric Co
4161,1553,Gould Street,Baltimore City,MD,21230,Patapsco River,MAAC,22,Baltimore Gas & Electric Co
4161,1554,Herbert A Wagner,Anne Arundel,MD,21226,Patapsco River,MAAC,22,Baltimore Gas & Electric Co
4161,1555,Notch Cliff,Baltimore,MD,21057,N/A,MAAC,22,Baltimore Gas & Electric Co
4161,1556,Perryman,Harford,MD,21130,NA,MAAC,22,Baltimore Gas & Electric Co
4161,1557,Philadelphia,Baltimore City,MD,21205,N/A,MAAC,22,Baltimore Gas & Electric Co
4161,1559,Riverside,Baltimore,MD,21222,Patapsco River,MAAC,22,Baltimore Gas & Electric Co
4161,1560,Westport,Baltimore City,MD,21230,N/A,MAAC,22,Baltimore Gas & Electric Co
4172,50560,Pacific-Ultrapower Chinese Station,Tuolumne,CA,95327,Wells,WECC,22,Pacific Gas & Electric Co
4174,55066,Heat Recovery Coke Facility,Lake,IN,46312,Lake Michigan,ECAR,331111,Northern Indiana Pub Serv Co
4175,55690,Bethlehem Power Plant,Northhampton,PA,18015,Lehigh River,MAAC,22,Pennsylvania Power Co
4180,56256,John Street 1 & 2,New Haven,CT,6492,,NPCC,22,
4180,56257,Cytec 1 & 2,New Haven,CT,6492,,NPCC,22,
4181,54336,Shelton Landfill Gas Recovery,Shelton,CT,6460,,NPCC,22,United Illuminating Co
4188,55524,Delta Power Plant,York,PA,17314,Conowingo Pool,MAAC,22,Pennsylvania Electric Co
4188,55643,East Donegal Power Plant,Lancaster,PA,17547,Susquehanna River,MAAC,22,PPL Electric Utilities Corp
4188,55675,Bordentown Power Plant,Burlington,NJ,8505,Delaware River,MAAC,22,Public Service Elec & Gas Co
4192,50385,Newark Bay Cogeneration Project,Union,NJ,7105,Cooling-City Of Newark,MAAC,22,Public Service Elec & Gas Co
4194,55381,Commonwealth Chesapeake,Accomack,VA,23415,Wells,MAAC,22,Delmarva Power & Light Company
4199,54669,San Juan Basin Gas Plant,San Juan,NM,87413,None,WECC,211,Public Service Co of NM
4202,52188,Ponca City Refinery,Kay,OK,74603,Wells,SPP,32411,Oklahoma Gas & Electric Co
4207,54384,EHC West Hopkinton,Merrimack,NH,3283,Contoocook River,NPCC,22,Public Service Co of NH
4207,54418,Rollinsford,Strafford,NH,3869,Salmon Falls River,NPCC,22,Public Service Co of NH
4208,50119,ConocoPhillips Rodeo Refinery,Contra Costa,CA,94572,East Bay Municipal Utilities,WECC,32411,Pacific Gas & Electric Co
4210,55188,Cordova Energy,Rock Island,IL,61242,Wells,MAIN,22,MidAmerican Energy Co
4211,50702,Salmon Falls,York,ME,3869,Salmon Falls River,NPCC,22,Public Service Co of NH
4217,10784,Colstrip Energy LP,Rosebud,MT,59323,Wells,WECC,22,NorthWestern Energy
4222,54556,Corn Products Illinois,Cook,IL,60501,Sanitary Ship Canal,MAIN,311,Commonwealth Edison Co
4226,2493,East River,New York,NY,10009,East River,NPCC,22,
4226,2496,Hudson Avenue,Kings,NY,11201,East River,NPCC,22,
4226,2502,Waterside,New York,NY,10017,East River,NPCC,22,
4226,2503,59th Street,New York,NY,10019,Hudson River,NPCC,22,
4226,2504,74th Street,New York,NY,10021,East River,NPCC,22,
4247,3971,Biron,Wood,WI,54494,Wisconsin River,MAIN,22,
4247,3972,Du Bay,Portage,WI,54455,Wisconsin River,MAIN,22,
4247,3973,Stevens Point,Portage,WI,54481,Wisconsin River,MAIN,22,
4247,3974,Wisconsin Rapids,Wood,WI,54495,Wisconsin Rapids,MAIN,22,
4247,3975,Whiting,Portage,WI,54481,Wisconsin River,MAIN,22,
4252,591,Christiana,New Castle,DE,19801,,MAAC,22,Delmarva Power & Light Company
4252,592,Delaware City 10,New Castle,DE,19706,,MAAC,22,Delmarva Power & Light Company
4252,593,Edge Moor,New Castle,DE,19809,Delaware River,MAAC,22,Delmarva Power & Light Company
4252,596,R Madison,New Castle,DE,19804,N/A,MAAC,22,Delmarva Power & Light Company
4252,597,West Station,New Castle,DE,19808,,MAAC,22,Delmarva Power & Light Company
4252,1563,Crisfield,Somerset,MD,21817,,MAAC,22,Delmarva Power & Light Company
4252,3782,Bayview,Northampton,VA,23316,,MAAC,22,Delmarva Power & Light Company
4252,3785,Tasley,Accomack,VA,23441,,MAAC,22,Delmarva Power & Light Company
4252,7153,Hay Road,New Castle,DE,19809,Delaware River,MAAC,22,Delmarva Power & Light Company
4254,1693,Alcona,Alcona,MI,12345,Au Sable River,ECAR,22,
4254,1694,Allegan Dam,Allegan,MI,49010,Kalamazoo River,ECAR,22,
4254,1695,B C Cobb,Muskegon,MI,49445,Muskegon Lake,ECAR,22,
4254,1696,B E Morrow,Kalamazoo,MI,49041,N/A,ECAR,22,
4254,1698,C W Tippy,Manistee,MI,49689,Manistee River,ECAR,22,
4254,1700,Cooke,Iosco,MI,48750,Au Sable River,ECAR,22,
4254,1701,Croton,Newaygo,MI,49337,Muskegon River,ECAR,22,
4254,1702,Dan E Karn,Bay,MI,48732,Saginaw River,ECAR,22,
4254,1704,Five Channels,Iosco,MI,48750,Au Sable River,ECAR,22,
4254,1705,Foote,Iosco,MI,48750,Au Sable River,ECAR,22,
4254,1706,Gaylord,Otsego,MI,49735,N/A,ECAR,22,
4254,1707,Hardy,Newaygo,MI,49337,Muskegon River,ECAR,22,
4254,1708,Hodenpyl,Wexford,MI,49668,Manistee River,ECAR,22,
4254,1710,J H Campbell,Ottawa,MI,49460,Lake Michigan,ECAR,22,
4254,1712,Loud,Iosco,MI,48750,Au Sable River,ECAR,22,
4254,1713,Ludington,Mason,MI,49431,Lake Michigan,ECAR,22,
4254,1714,Mio,Oscoda,MI,48647,Au Sable River,ECAR,22,
4254,1715,Palisades,Van Buren,MI,49043,Lake Michigan,ECAR,22,
4254,1716,Rogers,Mecosta,MI,49307,Muskegon River,ECAR,22,
4254,1718,Straits,Emmet,MI,49701,N/A,ECAR,22,
4254,1719,Thetford,Genesee,MI,48458,N/A,ECAR,22,
4254,1720,J C Weadock,Bay,MI,48732,Saginaw River,ECAR,22,
4254,1722,Webber,Ionia,MI,48851,Grand River,ECAR,22,
4254,1723,J R Whiting,Monroe,MI,48133,Lake Erie,ECAR,22,
4270,55797,Silver Bow Generation Plant,Silver Bow,MT,59701,Silver Lake,WECC,22,NorthWestern Energy
4277,52049,Clifton Dam 3 Power Station,Spartanburg,SC,29329,Pacolet,SERC,22,Duke Energy Corporation
4300,55727,CPV Cana Power Generating Facility,St Lucic,FL,34987,Deep Wells,FRCC,22,Florida Power & Light Company
4302,55688,CPV Pierce,Polk,FL,33860,Upper Florida Aquifer,FRCC,22,Tampa Electric Co
4305,7847,Coon Rapids II,Carroll,IA,50058,Municipality,MRO,22,
4329,390,Solomon Gulch,Valdez-Cordova,AK,99686,Solomon Lake,ASCC,22,
4329,6305,Glennallen,Valdez-Cordova,AK,99588,well,ASCC,22,
4329,6306,Valdez,Valdez-Cordova,AK,99686,,ASCC,22,
4329,7841,Valdez Cogen,Valdez-Cordova,AK,99686,,ASCC,22,
4361,52115,Corn Products Stockton Plant,San Joaquin,CA,95206,,WECC,311,Pacific Gas & Electric Co
4362,7888,Parkside,McLean,IL,61761,N/A,MAIN,22,
4362,7891,Gillum,McLean,IL,61701,N/A,MAIN,22,
4362,8003,Prairie Energy,Logan,IL,62634,Mohomet Aquifer,MAIN,22,
4362,56176,BNWRD,McLean,IL,61745,N/A,MAIN,22,
4363,1217,Earl F Wisdom,Clay,IA,51301,Wells,MRO,22,
4367,50008,Conoco Lake Charles Refinery,Calcasieu,LA,70669,,SERC,32411,Entergy Gulf States Inc
4372,55798,Tishomingo Power LLC,Tishomingo,MS,38852,Tri State Commerce Pacific,SERC,22,Tennessee Valley Authority
4375,1134,Corning,Adams,IA,50841,Municipality,MAIN,22,
4382,55934,Century Generating Facility,San Bernardino,CA,92324,,WECC,22,Southern California Edison Co
4382,55935,Drews Generating Facility,San Bernardino,CA,92324,,WECC,22,Southern California Edison Co
4383,55206,Corpus Christi Energy Center,Nueces,TX,78407,Corpus Christi Ship Channel,ERCOT,22,AEP Texas Central Company
4385,10553,Anderson Power Products Division,Worcester,MA,1564,cooling,NPCC,326,Sterling Town of
4386,10286,Cornell Hydro,Tompkins,NY,14853,Fall Creek,NPCC,611,New York State Elec & Gas Corp
4390,56356,Clearwater Power Plant,Riverside,CA,92880,Municipality,WECC,22,
4397,10873,Coso Finance Partners,Inyo,CA,93527,Wells,WECC,22,Southern California Edison Co
4397,10874,Coso Power Developers,Inyo,CA,93527,Wells,WECC,22,Southern California Edison Co
4397,10875,Coso Energy Developers,Inyo,CA,93527,Wells,WECC,22,Southern California Edison Co
4405,55358,Cottonwood Energy Project,Newton,TX,77614,Sabine River,SERC,22,Entergy Gulf States Inc
4413,54850,Cox Waste to Energy,Taylor,KY,42718,Municipality/ Private Lake,ECAR,321,Taylor County Rural E C C
4417,54618,Corn Products Winston Salem,Forsyth,NC,27107,Municipality,SERC,311,Duke Energy Corporation
4425,50658,Covanta Fairfax Energy,Fairfax,VA,22079,Municipality,SERC,22,Virginia Electric & Power Co
4426,54945,Covanta Mid-Connecticut Energy,Hartford,CT,6114,Connecticut River,NPCC,22,Connecticut Light & Power Co
4427,50664,Covanta Wallingford Energy,New Haven,CT,6492,Municipality,NPCC,22,Connecticut Light & Power Co
4434,50036,New Martinsville Hannibal Hydro,Wetzel,WV,26155,Ohio River,ECAR,22,Monongahela Power Co
4435,10013,Covanta Hennepin Energy,Hennepin,MN,55405,Minneapolis Utilities,MRO,22,Northern States Power Co
4436,54267,Koma Kulshan Associates,Whatcom,WA,98237,Sulphur & Rocky Creeks,WECC,22,Puget Sound Energy Inc
4440,50960,Union County Resource Recovery,Union,NJ,7065,Municipality,MAAC,22,Public Service Elec & Gas Co
