Year,Plant State,AER Fuel Code,Net Generation MWh
2001,AK,WWW,0.0
2001,AK,WND,0.00015725352834053592
2001,AK,OOG,0.0
2001,AK,WOC,0.0
2001,NM,HYC,0.007087375130522583
2001,NM,COL,0.8482089672165595
2001,NM,DFO,0.0017762636712485038
2001,NM,NG,0.14221811891875263
2001,NM,NUC,0.0
2001,NM,RFO,0.00015224775876836598
2001,NM,MLG,0.0
2001,NM,PC,0.0
2001,NM,SUN,0.0
2001,NM,HPS,0.0
2001,NM,GEO,0.0
2001,NM,ORW,0.0005570273041482076
2001,NM,OTH,0.0
2001,NM,WOO,0.0
2001,NM,WWW,0.0
2001,NM,WND,0.0
2001,NM,OOG,0.0
2001,NM,WOC,0.0
2001,NY,HYC,0.16001071446237175
2001,NY,COL,0.16154507830746606
2001,NY,DFO,0.009665894703925863
2001,NY,NG,0.2695671534252108
2001,NY,NUC,0.2819942478153635
2001,NY,RFO,0.10508311083399675
2001,NY,MLG,0.008831381184104346
2001,NY,PC,0.00011674894298052441
2001,NY,SUN,0.0
2001,NY,HPS,-0.006495887731537765
2001,NY,GEO,0.0
2001,NY,ORW,0.0
2001,NY,OTH,0.0056496586929187425
2001,NY,WOO,0.0003603691661409131
2001,NY,WWW,0.0035092097939141815
2001,NY,WND,0.00010750620197919613
2001,NY,OOG,0.0
2001,NY,WOC,5.481420116497714e-05
2001,WA,HYC,0.6672709111389822
2001,WA,COL,0.11024565003336609
2001,WA,DFO,0.0033582669270845102
2001,WA,NG,0.10322740119154997
2001,WA,NUC,0.10058249238355348
2001,WA,RFO,0.00036376186884519955
2001,WA,MLG,0.0012226221143668843
2001,WA,PC,0.0
2001,WA,SUN,0.0
2001,WA,HPS,0.0
2001,WA,GEO,0.0
2001,WA,ORW,0.000354618347254373
2001,WA,OTH,0.0007270209732904027
2001,WA,WOO,0.00018039754781012742
2001,WA,WWW,0.012466857473896925
2001,WA,WND,0.0
2001,WA,OOG,0.0
2001,WA,WOC,0.0
2001,AZ,HYC,0.08478987105460346
2001,AZ,COL,0.4455669850024455
2001,AZ,DFO,0.002204960009251286
2001,AZ,NG,0.14316558762359602
2001,AZ,NUC,0.31947136283387495
2001,AZ,RFO,0.0012896492268729249
2001,AZ,MLG,0.00037371288331715293
2001,AZ,PC,0.0
2001,AZ,SUN,5.438695275202755e-06
2001,AZ,HPS,0.003072962929175603
2001,AZ,GEO,0.0
2001,AZ,ORW,5.946974158795323e-05
2001,AZ,OTH,0.0
2001,AZ,WOO,0.0
2001,AZ,WWW,0.0
2001,AZ,WND,0.0
2001,AZ,OOG,0.0
2001,AZ,WOC,0.0
2001,KS,HYC,0.0005716525334451533
2001,KS,COL,0.7104674407941067
2001,KS,DFO,0.0018953028260599665
2001,KS,NG,0.042889304224138
2001,KS,NUC,0.23139506501399898
2001,KS,RFO,0.011890421897003954
2001,KS,MLG,0.0
2001,KS,PC,0.0
2001,KS,SUN,0.0
2001,KS,HPS,0.0
2001,KS,GEO,0.0
2001,KS,ORW,0.0
2001,KS,OTH,0.0
2001,KS,WOO,0.0
2001,KS,WWW,0.0
2001,KS,WND,0.0008908127112471086
2001,KS,OOG,0.0
2001,KS,WOC,0.0
2001,SC,HYC,0.013769716917124001
2001,SC,COL,0.4105322590553976
2001,SC,DFO,0.00243016163319111
2001,SC,NG,0.013215443737506301
2001,SC,NUC,0.5603653183368267
2001,SC,RFO,0.0010318828971899823
2001,SC,MLG,0.00031512982623141216
2001,SC,PC,0.0
2001,SC,SUN,0.0
2001,SC,HPS,-0.011637912803574905
2001,SC,GEO,0.0
2001,SC,ORW,0.0
2001,SC,OTH,0.00024375835018968317
2001,SC,WOO,0.0
2001,SC,WWW,0.009732033590219435
2001,SC,WND,0.0
2001,SC,OOG,2.2084596987927477e-06
2001,SC,WOC,0.0
2001,FL,HYC,0.0007740426501225335
2001,FL,COL,0.3575135099454374
2001,FL,DFO,0.006737068557221801
2001,FL,NG,0.22792168750415956
2001,FL,NUC,0.16549710754309307
2001,FL,RFO,0.1905638983427438
2001,FL,MLG,0.009347625728641984
2001,FL,PC,0.015217956850327721
2001,FL,SUN,0.0
2001,FL,HPS,0.0
2001,FL,GEO,0.0
2001,FL,ORW,0.0008991110234631191
2001,FL,OTH,0.015938998198325654
2001,FL,WOO,5.695882429244871e-06
2001,FL,WWW,0.009579975612617211
2001,FL,WND,0.0
2001,FL,OOG,3.3221614168732735e-06
2001,FL,WOC,0.0
2001,NV,HYC,0.07433536682095049
2001,NV,COL,0.5245147119361964
2001,NV,DFO,0.0005495528870838826
2001,NV,NG,0.34048344947575804
2001,NV,NUC,0.0
2001,NV,RFO,0.026408947887172865
2001,NV,MLG,0.0
2001,NV,PC,0.0
2001,NV,SUN,0.0
2001,NV,HPS,0.0
2001,NV,GEO,0.03370797099283834
2001,NV,ORW,0.0
2001,NV,OTH,0.0
2001,NV,WOO,0.0
2001,NV,WWW,0.0
2001,NV,WND,0.0
2001,NV,OOG,0.0
2001,NV,WOC,0.0
2001,UT,HYC,0.014073218253798255
2001,UT,COL,0.9286484795768005
2001,UT,DFO,0.0016060310402131101
2001,UT,NG,0.04033703984898384
2001,UT,NUC,0.0
2001,UT,RFO,0.0
2001,UT,MLG,0.00015330433493909224
2001,UT,PC,0.0
2001,UT,SUN,0.0
2001,UT,HPS,0.0
2001,UT,GEO,0.004260601594498271
2001,UT,ORW,0.0
2001,UT,OTH,0.00011565063863826259
2001,UT,WOO,0.0
2001,UT,WWW,0.0
2001,UT,WND,0.0
2001,UT,OOG,0.0
2001,UT,WOC,0.010805674712128488
2001,OK,HYC,0.04161888262832903
2001,OK,COL,0.6144392353449123
2001,OK,DFO,0.0026106743570440383
2001,OK,NG,0.33824140364132793
2001,OK,NUC,0.0
2001,OK,RFO,0.0004987332302461478
2001,OK,MLG,0.0
2001,OK,PC,0.0
2001,OK,SUN,0.0
2001,OK,HPS,-0.002280537051347747
2001,OK,GEO,0.0
2001,OK,ORW,0.0
2001,OK,OTH,0.0
2001,OK,WOO,0.0
2001,OK,WWW,0.0036682814865422347
2001,OK,WND,0.0
2001,OK,OOG,0.0012033263629462126
2001,OK,WOC,0.0
2001,AR,HYC,0.054027048438930025
2001,AR,COL,0.5250469050554398
2001,AR,DFO,0.0008242977688556846
2001,AR,NG,0.05684306990216881
2001,AR,NUC,0.31337666592830693
2001,AR,RFO,0.01778950197622306
2001,AR,MLG,0.0
2001,AR,PC,0.0
2001,AR,SUN,0.0
2001,AR,HPS,0.0
2001,AR,GEO,0.0
2001,AR,ORW,0.00015481100375326891
2001,AR,OTH,4.97002006434947e-06
2001,AR,WOO,3.074641914690098e-05
2001,AR,WWW,0.0319019834871111
2001,AR,WND,0.0
2001,AR,OOG,0.0
2001,AR,WOC,0.0
2001,IL,HYC,0.0008044173228008717
2001,IL,COL,0.4442988015799898
2001,IL,DFO,0.0007879964892480581
2001,IL,NG,0.02559675343260283
2001,IL,NUC,0.5158319458035384
2001,IL,RFO,0.007540325508084218
2001,IL,MLG,0.0033642212335411354
2001,IL,PC,8.250405023133478e-05
2001,IL,SUN,0.0
2001,IL,HPS,0.0
2001,IL,GEO,0.0
2001,IL,ORW,0.00023071606499433395
2001,IL,OTH,7.922211868046081e-05
2001,IL,WOO,0.0
2001,IL,WWW,0.0
2001,IL,WND,0.0
2001,IL,OOG,0.0013830963962875938
2001,IL,WOC,0.0
2001,WI,HYC,0.034922482887779716
2001,WI,COL,0.7033386638478216
2001,WI,DFO,0.0015243623002501416
2001,WI,NG,0.03646645435919545
2001,WI,NUC,0.196355314361807
2001,WI,RFO,0.0010520737550566517
2001,WI,MLG,0.005381796010235678
2001,WI,PC,0.004930498690450937
2001,WI,SUN,0.0
2001,WI,HPS,0.0
2001,WI,GEO,0.0
2001,WI,ORW,0.00013439902035482197
2001,WI,OTH,0.002729584176450554
2001,WI,WOO,6.519372019476092e-06
2001,WI,WWW,0.011924406242944054
2001,WI,WND,0.0012334449756340278
2001,WI,OOG,0.0
2001,WI,WOC,0.0
2001,CO,HYC,0.032089193961465166
2001,CO,COL,0.7718180403060485
2001,CO,DFO,0.003770450711794119
2001,CO,NG,0.19507159958550904
2001,CO,NUC,0.0
2001,CO,RFO,2.189796634282801e-06
2001,CO,MLG,0.0
2001,CO,PC,0.0
2001,CO,SUN,0.0
2001,CO,HPS,-0.005379643335410323
2001,CO,GEO,0.0
2001,CO,ORW,0.00137836961684016
2001,CO,OTH,0.0
2001,CO,WOO,1.0777212947189528e-05
2001,CO,WWW,0.0
2001,CO,WND,0.001239022144172113
2001,CO,OOG,0.0
2001,CO,WOC,0.0
2001,WY,HYC,0.019641702785697487
2001,WY,COL,0.9560282039254446
2001,WY,DFO,0.0007798938680296918
2001,WY,NG,0.012974218851207977
2001,WY,NUC,0.0
2001,WY,RFO,4.121450648434581e-05
2001,WY,MLG,0.0
2001,WY,PC,0.0
2001,WY,SUN,0.0
2001,WY,HPS,0.0
2001,WY,GEO,0.0
2001,WY,ORW,0.0
2001,WY,OTH,0.002410979355830024
2001,WY,WOO,0.0
2001,WY,WWW,0.0
2001,WY,WND,0.007955985367362152
2001,WY,OOG,0.00016780133994371147
2001,WY,WOC,0.0
2001,CT,HYC,0.00939576503838146
2001,CT,COL,0.12256937129873971
2001,CT,DFO,0.0017442658069752605
2001,CT,NG,0.13374834236900487
2001,CT,NUC,0.5061782699965396
2001,CT,RFO,0.16789012832451608
2001,CT,MLG,0.02982143055138015
2001,CT,PC,0.0
2001,CT,SUN,0.0
2001,CT,HPS,0.0
2001,CT,GEO,0.0
2001,CT,ORW,0.0
2001,CT,OTH,0.028516054328332617
2001,CT,WOO,8.722356302246466e-05
2001,CT,WWW,0.0
2001,CT,WND,0.0
2001,CT,OOG,4.91487231078105e-05
2001,CT,WOC,0.0
2001,MA,HYC,0.018179985885804155
2001,MA,COL,0.2872460832385558
2001,MA,DFO,0.008262950744440143
2001,MA,NG,0.30397709618956187
2001,MA,NUC,0.13370362934192412
2001,MA,RFO,0.2129053106658383
2001,MA,MLG,0.030125720617112037
2001,MA,PC,0.0
2001,MA,SUN,0.0
2001,MA,HPS,-0.018489372643750224
2001,MA,GEO,0.0
2001,MA,ORW,0.0006233397878431232
2001,MA,OTH,0.020028102074544866
2001,MA,WOO,6.422619530315893e-05
2001,MA,WWW,0.0033729279028223928
2001,MA,WND,0.0
2001,MA,OOG,0.0
2001,MA,WOC,0.0
2001,VT,HYC,0.1613343552720019
2001,VT,COL,0.0
2001,VT,DFO,0.0057913238489836595
2001,VT,NG,0.002007075121168726
2001,VT,NUC,0.7610682890372089
2001,VT,RFO,0.0
2001,VT,MLG,0.0
2001,VT,PC,0.0
2001,VT,SUN,0.0
2001,VT,HPS,0.0
2001,VT,GEO,0.0
2001,VT,ORW,0.0
2001,VT,OTH,0.0
2001,VT,WOO,0.0
