,Plant State,AER Fuel Code,m,b,Rsq,Std Error
0,AL,COL,-0.03014248699450655,60.99540907853047,0.9114725926792051,0.00297061348192078
1,AL,DFO,-0.00011299996071182236,0.22802523880475603,0.7067682300189065,2.3016818536234674e-05
2,AL,GEO,0.0,0.0,0.0,0.0
3,AL,HPS,0.0,0.0,0.0,0.0
4,AL,HYC,0.0003975346669975269,-0.7373756614134971,0.006560714699863463,0.0015469279846597064
5,AL,MLG,2.1221255395755836e-05,-0.04256841612233831,0.48836552564830316,7.240310943085718e-06
6,AL,NG,0.026070784122458935,-52.15454009200149,0.9128603159263444,0.002547181666219558
7,AL,NUC,0.004458393426034842,-8.703898281617477,0.6779597561382429,0.0009716984404328948
8,AL,OOG,-5.860525794287609e-06,0.012990303067168151,0.001810907135469505,4.3510582934987575e-05
9,AL,ORW,-1.044783497027797e-05,0.021081266523702444,0.3620667792495803,4.622727775972839e-06
10,AL,OTH,8.669175912679304e-05,-0.1732919841628908,0.06586488400179004,0.00010882644550432319
11,AL,PC,0.0,0.0,0.0,0.0
12,AL,RFO,-1.9711636395890868e-05,0.03975845789447409,0.516186738752287,6.034734140563195e-06
13,AL,SUN,0.0,0.0,0.0,0.0
14,AL,WND,0.0,0.0,0.0,0.0
15,AL,WOC,0.0,0.0,0.0,0.0
16,AL,WOO,-2.3111849514621057e-06,0.004699336575670401,0.03829216616833076,3.6626996799373897e-06
17,AL,WWW,-0.0006839104718174819,1.3955061225635639,0.45418071345266436,0.00023708787721024916
18,TX,COL,-0.0067242708274183926,13.863045809372036,0.6332587525115214,0.0016182084894701928
19,TX,DFO,-1.2998202999093246e-05,0.02638817722211702,0.5475145973837751,3.736695858170339e-06
20,TX,GEO,0.0,0.0,0.0,0.0
21,TX,HPS,0.0,0.0,0.0,0.0
22,TX,HYC,-0.00019765711932828836,0.3994792594101381,0.46954505982400624,6.643517342180092e-05
23,TX,MLG,9.755012273465264e-05,-0.1949894991025674,0.9518262188606924,6.939918270964871e-06
24,TX,NG,5.330394847121617e-05,0.3757504491712156,9.030018407599544e-05,0.0017737624357803635
25,TX,NUC,-0.0015096961536679389,3.1302669839562496,0.6784415508160924,0.00032867244247335853
