,Year,Plant State,COL,DFO,GEO,HPS,HYC,MLG,NG,NUC,OOG,ORW,OTH,PC,RFO,SUN,WND,WOC,WOO,WWW
0,2004.0,Entire US,0.49701213099374164,0.0027383058115662,0.0034492513269401047,-0.002148337400436498,0.06780121295203782,0.0032554694870346058,0.177877119076194,0.19957388249088617,0.003535832514630373,0.0005020305648210761,0.0030901977982970208,0.005208163593096816,0.022168167178618477,0.00014556979618746374,0.0034150832714023942,0.0026639446953594754,0.0004064525498561724,0.009305523299765184
1,2004.0,AL,0.5465956770561262,0.0017385198398344797,0.0,0.0,0.07767625302082504,3.734837359581866e-05,0.11652854789315933,0.23125338261327144,0.0013299715179118407,0.00012987607176416518,0.00020407201637207283,0.0,0.00019157376646613565,0.0,0.0,0.0,0.0,0.02431477783067364
2,2004.0,TX,0.3857516703373059,0.0003906242998167644,0.0,0.0,0.0033698039107033996,0.0005714622665988087,0.4812340029356031,0.10476574828823246,0.00827509744160192,8.088601817458099e-05,0.001699608836622931,0.0032283845608734665,0.00026808180453295435,0.0,0.008129576269058148,0.0,1.4051689304781051e-05,0.002221001341570846
3,2004.0,MN,0.6506657898070396,0.0013588802592089046,0.0,0.0,0.013816779866959462,0.0062821139701182424,0.02718044817896756,0.25443756001042495,0.0,7.67274757657647e-05,0.0049243961536661225,0.012810346972672295,0.0008219213290891605,0.0,0.015139955258473912,0.0,0.0,0.012485080717614247
4,2004.0,CA,0.011558141022783018,0.0005275158432116765,0.06211886287950377,-0.004218881377110295,0.17627060959850852,0.008083172926002413,0.5174595312132332,0.1563317562491859,0.010670580967973778,0.003083018684677301,0.002213520675896948,0.010799366974921837,8.74433621615025e-06,0.0029486113888656236,0.022153744116154596,0.0,0.00022597180266255943,0.01976573269731207
5,2004.0,LA,0.24257950489315575,0.0011011831913853595,0.0,0.0,0.01126699420084959,0.0,0.47243530225123453,0.17513257058914858,0.023396883962948575,0.0007851374224227544,0.007489268109666386,0.01919870917276373,0.01972343327008362,0.0,0.0,0.0,0.0,0.026891012936340428
6,2004.0,KY,0.9110394490838722,0.0012761881774121827,0.0,0.0,0.039989983194220806,0.0006032903402833414,0.006133925140653864,0.0,1.7994297582717095e-05,5.1518327846181826e-05,0.00016426540438826048,0.037030180429568176,0.0,0.0,0.0,0.0,0.0,0.0036932056041721747
7,2004.0,NE,0.6517211364118356,0.000668924500548759,0.0,0.0,0.00935461415982728,0.0008518501698102099,0.009474240999117317,0.32626552821606986,4.523831261941352e-06,0.0004070997794716684,,0.0,2.7748161505815987e-05,0.0,0.0012243337705515366,0.0,0.0,0.0
8,2004.0,AK,0.09943432687091182,0.055483956216699125,0.0,0.0,0.22952121881091642,0.0,0.5551692609857847,0.0,0.0,0.0013525949089960689,0.0,0.0,0.05569584335984329,0.0,0.0,0.0,0.003283274033957932,5.952481289052736e-05
9,2004.0,NM,0.8883903665714118,0.0009525048742326202,0.0,0.0,0.004218138526843584,0.0,0.0908512735864598,0.0,0.0,,0.0,0.0,,0.0,0.015587716441052163,0.0,0.0,0.0
10,2004.0,NY,0.16646796819663015,0.005921078527694634,0.0,-0.005924535887824966,0.17469864308750221,0.009304399007357468,0.19422865371578396,0.2960938664372591,0.0,0.00015317445531577993,0.0064433067772378455,0.0015863343058870045,0.14599262651037956,0.0,0.0007114650897755621,3.0425165023785965e-05,0.000670649512543137,0.003621945099434426
11,2004.0,WA,0.10250670830976726,0.00023842850005028875,0.0,-9.66835337144634e-05,0.7046934527024964,0.0016125002453736472,0.08322402416510892,0.08844685096656664,0.0027108843556792254,0.00021368842850678297,0.0006584500204536502,0.0,0.0001791188442142611,0.0,0.0015021202059689453,0.0,0.0004281978541324664,0.013682258935396369
12,2004.0,AZ,0.395753501248,0.00036812151412118075,0.0,-0.000531242695615792,0.06931948747752435,0.0004373407775247222,0.25511055273210864,0.279465160665284,0.0,3.615114496400429e-08,0.0,0.0,3.4644101688267875e-05,4.239802821938714e-05,0.0,0.0,0.0,0.0
13,2004.0,KS,0.7394757702355569,0.000992919734137577,0.0,0.0,0.00026820772091296806,0.0,0.01777721822198287,0.21659982698436156,0.0,0.0,0.0,0.0,0.017257324877679357,0.0,0.007628732225368545,0.0,0.0,0.0
14,2004.0,SC,0.3977459544878605,0.0018380404803981858,0.0,-0.01174526228835472,0.02477500718539296,0.0007048646297024435,0.03880937388036736,0.5233401614596125,,0.0,0.0008524655958896589,0.005016950011742463,0.0019902865116383775,0.0,0.0,0.0,1.87322523426266e-05,0.01665342579340836
15,2004.0,FL,0.29004731530480915,0.005427105785896101,0.0,0.0,0.001233288484667412,0.007174190215947957,0.35601753762001037,0.14513345875937492,6.836447541197862e-05,0.002408923737267358,0.014533554388442775,0.03060760973829568,0.13715218105411547,0.0,0.0,0.0,2.831559026025775e-05,0.010168154845500267
16,2004.0,NV,0.4861730747731962,0.00025326903525457213,0.03176855394811057,0.0,0.04274498278603936,0.0,0.4362031377797418,0.0,0.0005600955578271066,0.0,0.0,0.0,0.0022968861198302175,0.0,0.0,0.0,0.0,0.0
17,2004.0,UT,0.9479369926664296,0.0008531637612805896,0.005099866924671625,0.0,0.011772434583165787,0.00010000770526731493,0.023810607625151282,0.0,,0.0,8.181961775897373e-05,0.0,,0.0,0.0,0.01034510711627479,0.0,0.0
18,2004.0,OK,0.5566562098387153,0.0002561001018952044,0.0,-0.003851623083171272,0.04902121840024289,,0.3834528233377646,0.0,0.0,0.0,0.00014602190023546596,0.0,0.0007719876420472992,0.0,0.009432202169274912,0.0,0.0,0.0041150596929956
