Year,Plant State,AER Fuel Code,Fuel Consumption MWh
2001,AK,WWW,0.0
2001,AK,WND,0.0001400777135203787
2001,AK,OOG,0.0
2001,AK,WOC,0.0
2001,NM,HYC,0.007037344154735554
2001,NM,COL,0.8472245433688751
2001,NM,DFO,0.0019861576889403346
2001,NM,NG,0.14306019812866458
2001,NM,NUC,0.0
2001,NM,RFO,0.00017016624354085217
2001,NM,MLG,0.0
2001,NM,PC,0.0
2001,NM,SUN,0.0
2001,NM,HPS,0.0
2001,NM,GEO,0.0
2001,NM,ORW,0.0005215904152435325
2001,NM,OTH,0.0
2001,NM,WOO,0.0
2001,NM,WWW,0.0
2001,NM,WND,0.0
2001,NM,OOG,0.0
2001,NM,WOC,0.0
2001,NY,HYC,0.15742196052044288
2001,NY,COL,0.16101084713052746
2001,NY,DFO,0.011860170065386765
2001,NY,NG,0.23735789264948906
2001,NY,NUC,0.2803585215924784
2001,NY,RFO,0.10765413916256064
2001,NY,MLG,0.01311253260048539
2001,NY,PC,0.0001462634573148049
2001,NY,SUN,0.0
2001,NY,HPS,0.01685808112127908
2001,NY,GEO,0.0
2001,NY,ORW,0.0
2001,NY,OTH,0.008836127795149874
2001,NY,WOO,0.000985239145546172
2001,NY,WWW,0.004122649327174941
2001,NY,WND,0.00010576689218038666
2001,NY,OOG,0.0
2001,NY,WOC,0.0001698085399843056
2001,WA,HYC,0.6692592390827119
2001,WA,COL,0.11293270468030771
2001,WA,DFO,0.003491406874624327
2001,WA,NG,0.09228484032499788
2001,WA,NUC,0.1020364142505653
2001,WA,RFO,0.0002685520094018984
2001,WA,MLG,0.002119172362102966
2001,WA,PC,0.0
2001,WA,SUN,0.0
2001,WA,HPS,0.0
2001,WA,GEO,0.0
2001,WA,ORW,0.000279282587658361
2001,WA,OTH,0.001319682132683523
2001,WA,WOO,0.0003309971587836293
2001,WA,WWW,0.015677708536162262
2001,WA,WND,0.0
2001,WA,OOG,0.0
2001,WA,WOC,0.0
2001,AZ,HYC,0.08461141827696449
2001,AZ,COL,0.4430394394640449
2001,AZ,DFO,0.00275549974065419
2001,AZ,NG,0.14165557894822176
2001,AZ,NUC,0.32216191317906795
2001,AZ,RFO,0.0015416064053327368
2001,AZ,MLG,0.00036617656630634276
2001,AZ,PC,0.0
2001,AZ,SUN,5.427251958099058e-06
2001,AZ,HPS,0.0038325957878399615
2001,AZ,GEO,0.0
2001,AZ,ORW,3.034437960993353e-05
2001,AZ,OTH,0.0
2001,AZ,WOO,0.0
2001,AZ,WWW,0.0
2001,AZ,WND,0.0
2001,AZ,OOG,0.0
2001,AZ,WOC,0.0
2001,KS,HYC,0.0005382357219590937
2001,KS,COL,0.7148220347314387
2001,KS,DFO,0.002271688873174371
2001,KS,NG,0.04818417535232821
2001,KS,NUC,0.22016675796312046
2001,KS,RFO,0.013178368430356673
2001,KS,MLG,0.0
2001,KS,PC,0.0
2001,KS,SUN,0.0
2001,KS,HPS,0.0
2001,KS,GEO,0.0
2001,KS,ORW,0.0
2001,KS,OTH,0.0
2001,KS,WOO,0.0
2001,KS,WWW,0.0
