"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Oct 24 2017 21:59:13 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"West North Central : residential","cents per kilowatthour","ELEC.PRICE.WNC-RES.A",7.37,7.37,7.42,7.57,7.78,8.12,8.31,8.67,9.14,9.64,10.12,10.59,10.94,11.09,11.47,11.73
"West North Central : commercial","cents per kilowatthour","ELEC.PRICE.WNC-COM.A",6.05,6.01,6.02,6.16,6.33,6.62,6.79,7.13,7.43,7.87,8.23,8.48,8.98,9.25,9.27,9.47
"West North Central : industrial","cents per kilowatthour","ELEC.PRICE.WNC-IND.A",4.28,4.19,4.34,4.51,4.71,4.94,5.08,5.32,5.72,5.86,6.08,6.28,6.67,6.73,6.88,7.07
"West North Central : transportation","cents per kilowatthour","ELEC.PRICE.WNC-TRA.A","--","--","--",5.87,5.58,6.91,7.25,6.67,6.79,6.95,7.52,7.72,8.73,8.84,8.98,9.26
"West North Central : other","cents per kilowatthour","ELEC.PRICE.WNC-OTH.A",6.03,5.72,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa","cents per kilowatthour","ELEC.PRICE.IA-ALL.A",,,,,,,,,,,,,,,,
"Iowa : all sectors","cents per kilowatthour","ELEC.PRICE.IA-ALL.A",6.14,6.01,6.11,6.40,6.69,7.01,6.83,6.89,7.37,7.66,7.56,7.71,8.07,8.15,8.35,8.74
"Iowa : residential","cents per kilowatthour","ELEC.PRICE.IA-RES.A",8.41,8.35,8.57,8.96,9.27,9.63,9.45,9.49,9.99,10.42,10.46,10.82,11.04,11.16,11.63,12.25
"Iowa : commercial","cents per kilowatthour","ELEC.PRICE.IA-COM.A",6.69,6.56,6.24,6.75,6.95,7.29,7.11,7.18,7.55,7.91,7.85,8.01,8.44,8.67,8.92,9.35
"Iowa : industrial","cents per kilowatthour","ELEC.PRICE.IA-IND.A",4.18,4.06,4.16,4.33,4.56,4.92,4.74,4.81,5.27,5.36,5.21,5.30,5.62,5.71,5.90,6.14
"Iowa : transportation","cents per kilowatthour","ELEC.PRICE.IA-TRA.A","--","--","--","--","--",7.05,"--","--","--","--","--","--","--","--","--","--"
"Iowa : other","cents per kilowatthour","ELEC.PRICE.IA-OTH.A",5.67,4.92,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas","cents per kilowatthour","ELEC.PRICE.KS-ALL.A",,,,,,,,,,,,,,,,
"Kansas : all sectors","cents per kilowatthour","ELEC.PRICE.KS-ALL.A",6.24,6.31,6.35,6.37,6.55,6.89,6.84,7.45,7.98,8.35,8.89,9.33,9.72,10.16,10.14,10.40
"Kansas : residential","cents per kilowatthour","ELEC.PRICE.KS-RES.A",7.66,7.67,7.71,7.74,7.90,8.25,8.19,8.89,9.53,10.03,10.65,11.24,11.64,12.17,12.34,12.95
"Kansas : commercial","cents per kilowatthour","ELEC.PRICE.KS-COM.A",6.20,6.28,6.42,6.45,6.60,6.96,6.83,7.44,7.87,8.25,8.78,9.24,9.68,10.13,10.10,10.24
"Kansas : industrial","cents per kilowatthour","ELEC.PRICE.KS-IND.A",4.55,4.53,4.61,4.69,4.85,5.20,5.13,5.69,6.10,6.23,6.71,7.09,7.39,7.80,7.61,7.40
"Kansas : transportation","cents per kilowatthour","ELEC.PRICE.KS-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : other","cents per kilowatthour","ELEC.PRICE.KS-OTH.A",8.91,9.30,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Minnesota","cents per kilowatthour","ELEC.PRICE.MN-ALL.A",,,,,,,,,,,,,,,,
"Minnesota : all sectors","cents per kilowatthour","ELEC.PRICE.MN-ALL.A",5.97,5.80,6.01,6.24,6.61,6.98,7.44,7.79,8.14,8.41,8.65,8.86,9.41,9.52,9.53,10.02
"Minnesota : residential","cents per kilowatthour","ELEC.PRICE.MN-RES.A",7.61,7.49,7.65,7.92,8.28,8.70,9.18,9.74,10.04,10.59,10.96,11.35,11.81,12.01,12.12,12.73
"Minnesota : commercial","cents per kilowatthour","ELEC.PRICE.MN-COM.A",6.03,5.88,6.12,6.31,6.59,7.02,7.48,7.88,7.92,8.38,8.63,8.84,9.42,9.85,9.44,9.88
"Minnesota : industrial","cents per kilowatthour","ELEC.PRICE.MN-IND.A",4.34,4.07,4.36,4.63,5.02,5.29,5.69,5.87,6.26,6.29,6.47,6.54,6.98,6.72,7.02,7.27
"Minnesota : transportation","cents per kilowatthour","ELEC.PRICE.MN-TRA.A","--","--","--",6.75,6.21,7.95,8.27,8.04,7.73,7.77,8.23,8.67,9.79,9.79,9.50,10.09
"Minnesota : other","cents per kilowatthour","ELEC.PRICE.MN-OTH.A",7.43,7.36,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri","cents per kilowatthour","ELEC.PRICE.MO-ALL.A",,,,,,,,,,,,,,,,
"Missouri : all sectors","cents per kilowatthour","ELEC.PRICE.MO-ALL.A",6.03,6.09,6.02,6.07,6.13,6.30,6.56,6.84,7.35,7.78,8.32,8.53,9.04,9.11,9.44,9.53
"Missouri : residential","cents per kilowatthour","ELEC.PRICE.MO-RES.A",7.00,7.06,6.96,6.97,7.08,7.44,7.69,8.00,8.54,9.08,9.75,10.17,10.60,10.64,11.21,10.89
"Missouri : commercial","cents per kilowatthour","ELEC.PRICE.MO-COM.A",5.89,5.88,5.78,5.80,5.92,6.08,6.34,6.61,6.96,7.50,8.04,8.20,8.80,8.90,9.16,9.07
"Missouri : industrial","cents per kilowatthour","ELEC.PRICE.MO-IND.A",4.39,4.42,4.49,4.62,4.54,4.58,4.76,4.92,5.42,5.50,5.85,5.89,6.29,6.36,6.44,6.81
"Missouri : transportation","cents per kilowatthour","ELEC.PRICE.MO-TRA.A","--","--","--",4.91,4.77,5.75,6.16,5.40,5.83,6.14,6.90,6.97,7.81,7.81,8.36,8.31
"Missouri : other","cents per kilowatthour","ELEC.PRICE.MO-OTH.A",6.08,6.20,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska","cents per kilowatthour","ELEC.PRICE.NE-ALL.A",,,,,,,,,,,,,,,,
"Nebraska : all sectors","cents per kilowatthour","ELEC.PRICE.NE-ALL.A",5.39,5.55,5.64,5.70,5.87,6.07,6.28,6.58,7.21,7.52,7.88,8.37,8.74,8.84,8.91,9.09
"Nebraska : residential","cents per kilowatthour","ELEC.PRICE.NE-RES.A",6.50,6.73,6.87,6.96,7.14,7.41,7.59,7.87,8.52,8.94,9.32,10.04,10.31,10.40,10.60,10.87
"Nebraska : commercial","cents per kilowatthour","ELEC.PRICE.NE-COM.A",5.48,5.62,5.81,5.84,5.98,6.19,6.39,6.68,7.33,7.63,7.99,8.38,8.60,8.73,8.67,8.88
"Nebraska : industrial","cents per kilowatthour","ELEC.PRICE.NE-IND.A",3.76,3.89,4.18,4.28,4.43,4.56,4.78,5.16,5.75,6.00,6.43,7.01,7.44,7.47,7.59,7.64
"Nebraska : transportation","cents per kilowatthour","ELEC.PRICE.NE-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : other","cents per kilowatthour","ELEC.PRICE.NE-OTH.A",6.51,6.37,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota","cents per kilowatthour","ELEC.PRICE.ND-ALL.A",,,,,,,,,,,,,,,,
"North Dakota : all sectors","cents per kilowatthour","ELEC.PRICE.ND-ALL.A",5.48,5.45,5.47,5.69,5.92,6.21,6.42,6.69,6.63,7.11,7.50,7.83,8.20,8.41,8.75,9.05
"North Dakota : residential","cents per kilowatthour","ELEC.PRICE.ND-RES.A",6.47,6.39,6.49,6.79,6.99,7.14,7.30,7.51,7.58,8.13,8.58,9.06,9.12,9.15,9.62,10.24
"North Dakota : commercial","cents per kilowatthour","ELEC.PRICE.ND-COM.A",5.99,5.85,5.64,5.86,6.11,6.30,6.58,6.81,6.81,7.21,7.61,8.02,8.39,8.79,8.83,9.14
"North Dakota : industrial","cents per kilowatthour","ELEC.PRICE.ND-IND.A",3.98,3.98,3.96,4.13,4.32,5.00,5.24,5.59,5.25,5.81,6.24,6.55,7.13,7.62,8.07,8.22
"North Dakota : transportation","cents per kilowatthour","ELEC.PRICE.ND-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : other","cents per kilowatthour","ELEC.PRICE.ND-OTH.A",3.79,3.68,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota","cents per kilowatthour","ELEC.PRICE.SD-ALL.A",,,,,,,,,,,,,,,,
"South Dakota : all sectors","cents per kilowatthour","ELEC.PRICE.SD-ALL.A",6.35,6.26,6.35,6.44,6.60,6.70,6.89,7.14,7.39,7.82,8.05,8.49,8.86,9.05,9.47,9.79
"South Dakota : residential","cents per kilowatthour","ELEC.PRICE.SD-RES.A",7.42,7.40,7.47,7.65,7.77,7.83,8.07,8.27,8.49,8.97,9.35,10.07,10.26,10.47,11.08,11.43
"South Dakota : commercial","cents per kilowatthour","ELEC.PRICE.SD-COM.A",6.55,6.24,6.04,6.18,6.20,6.47,6.61,6.97,7.14,7.55,7.76,8.10,8.51,8.89,9.16,9.47
"South Dakota : industrial","cents per kilowatthour","ELEC.PRICE.SD-IND.A",4.46,4.54,4.51,4.59,4.95,4.84,5.09,5.31,5.65,6.07,6.20,6.57,6.97,6.99,7.37,7.55
"South Dakota : transportation","cents per kilowatthour","ELEC.PRICE.SD-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : other","cents per kilowatthour","ELEC.PRICE.SD-OTH.A",3.71,3.63,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Atlantic","cents per kilowatthour","ELEC.PRICE.SAT-ALL.A",,,,,,,,,,,,,,,,
"South Atlantic : all sectors","cents per kilowatthour","ELEC.PRICE.SAT-ALL.A",6.68,6.56,6.77,7.05,7.59,8.42,8.68,9.33,9.87,9.61,9.74,9.73,9.75,10.07,9.97,9.83
"South Atlantic : residential","cents per kilowatthour","ELEC.PRICE.SAT-RES.A",8.05,7.91,8.10,8.33,8.83,9.76,10.03,10.67,11.32,10.96,11.19,11.38,11.39,11.74,11.74,11.64
"South Atlantic : commercial","cents per kilowatthour","ELEC.PRICE.SAT-COM.A",6.60,6.45,6.70,6.96,7.49,8.46,8.66,9.31,9.61,9.29,9.46,9.37,9.38,9.68,9.49,9.28
"South Atlantic : industrial","cents per kilowatthour","ELEC.PRICE.SAT-IND.A",4.34,4.25,4.47,4.78,5.30,5.45,5.67,6.28,6.69,6.66,6.66,6.55,6.55,6.75,6.58,6.40
"South Atlantic : transportation","cents per kilowatthour","ELEC.PRICE.SAT-TRA.A","--","--",6.15,6.54,7.28,8.58,9.39,10.94,10.31,9.41,9.03,8.44,8.64,8.40,8.12,7.89
"South Atlantic : other","cents per kilowatthour","ELEC.PRICE.SAT-OTH.A",6.47,6.41,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware","cents per kilowatthour","ELEC.PRICE.DE-ALL.A",,,,,,,,,,,,,,,,
"Delaware : all sectors","cents per kilowatthour","ELEC.PRICE.DE-ALL.A",6.80,6.91,6.96,7.53,7.76,10.13,11.35,12.38,12.20,11.97,11.48,11.06,10.90,11.22,11.17,11.15
"Delaware : residential","cents per kilowatthour","ELEC.PRICE.DE-RES.A",8.61,8.70,8.59,8.78,9.01,11.85,13.16,13.93,14.07,13.80,13.70,13.58,12.95,13.29,13.42,13.47
"Delaware : commercial","cents per kilowatthour","ELEC.PRICE.DE-COM.A",7.00,7.15,7.31,7.44,7.60,10.21,11.21,12.09,12.03,11.36,10.64,10.13,10.20,10.50,10.25,10.12
"Delaware : industrial","cents per kilowatthour","ELEC.PRICE.DE-IND.A",4.81,4.85,5.15,6.06,6.21,7.67,8.93,10.49,9.51,9.57,8.91,8.36,8.43,8.58,8.28,7.98
"Delaware : transportation","cents per kilowatthour","ELEC.PRICE.DE-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : other","cents per kilowatthour","ELEC.PRICE.DE-OTH.A",14.17,14.13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia","cents per kilowatthour","ELEC.PRICE.DC-ALL.A",,,,,,,,,,,,,,,,
"District Of Columbia : all sectors","cents per kilowatthour","ELEC.PRICE.DC-ALL.A",7.40,7.34,7.40,7.47,9.18,11.08,11.79,13.18,13.23,13.35,12.81,11.85,11.85,12.11,12.07,11.87
"District Of Columbia : residential","cents per kilowatthour","ELEC.PRICE.DC-RES.A",7.79,7.98,7.84,8.00,9.10,9.88,11.18,12.78,13.73,14.01,13.40,12.28,12.57,12.74,12.99,12.87
"District Of Columbia : commercial","cents per kilowatthour","ELEC.PRICE.DC-COM.A",7.45,7.32,7.35,7.45,9.13,11.17,12.01,13.30,13.26,13.42,12.90,12.02,11.94,12.19,12.01,11.73
"District Of Columbia : industrial","cents per kilowatthour","ELEC.PRICE.DC-IND.A",4.81,4.95,5.57,4.74,14.13,17.43,9.32,10.65,8.38,7.74,6.89,5.46,5.54,8.41,8.78,8.96
"District Of Columbia : transportation","cents per kilowatthour","ELEC.PRICE.DC-TRA.A","--","--",7.64,7.37,7.37,10.68,11.32,14.01,13.12,10.95,10.19,9.01,9.52,8.80,9.00,9.40
"District Of Columbia : other","cents per kilowatthour","ELEC.PRICE.DC-OTH.A",6.39,6.59,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida","cents per kilowatthour","ELEC.PRICE.FL-ALL.A",,,,,,,,,,,,,,,,
"Florida : all sectors","cents per kilowatthour","ELEC.PRICE.FL-ALL.A",7.67,7.31,7.72,8.16,8.76,10.45,10.33,10.74,11.49,10.58,10.61,10.44,10.22,10.77,10.49,10.13
"Florida : residential","cents per kilowatthour","ELEC.PRICE.FL-RES.A",8.59,8.16,8.55,8.99,9.62,11.33,11.22,11.65,12.39,11.44,11.51,11.42,11.27,11.89,11.58,11.24
"Florida : commercial","cents per kilowatthour","ELEC.PRICE.FL-COM.A",7.08,6.64,7.13,7.61,8.16,9.91,9.75,10.14,10.77,9.76,9.85,9.66,9.39,9.87,9.50,9.11
"Florida : industrial","cents per kilowatthour","ELEC.PRICE.FL-IND.A",5.18,5.23,5.41,5.84,6.46,7.71,7.76,8.25,9.32,8.85,8.55,8.04,7.61,7.90,8.22,7.81
"Florida : transportation","cents per kilowatthour","ELEC.PRICE.FL-TRA.A","--","--",7.21,7.45,8.03,10.32,9.73,10.18,10.48,8.58,8.81,8.45,8.69,9.25,8.92,8.32
"Florida : other","cents per kilowatthour","ELEC.PRICE.FL-OTH.A",7.60,7.43,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia","cents per kilowatthour","ELEC.PRICE.GA-ALL.A",,,,,,,,,,,,,,,,
"Georgia : all sectors","cents per kilowatthour","ELEC.PRICE.GA-ALL.A",6.39,6.24,6.32,6.58,7.43,7.63,7.86,8.84,8.81,8.87,9.61,9.37,9.69,10.03,9.62,9.46
"Georgia : residential","cents per kilowatthour","ELEC.PRICE.GA-RES.A",7.72,7.63,7.70,7.86,8.64,8.91,9.10,9.93,10.13,10.07,11.05,11.17,11.46,11.65,11.54,11.41
"Georgia : commercial","cents per kilowatthour","ELEC.PRICE.GA-COM.A",6.61,6.46,6.66,6.88,7.67,7.81,8.07,9.07,8.94,9.06,9.87,9.58,9.99,10.36,9.89,9.63
"Georgia : industrial","cents per kilowatthour","ELEC.PRICE.GA-IND.A",4.28,3.95,4.02,4.43,5.28,5.38,5.53,6.67,6.12,6.22,6.60,5.98,6.27,6.64,5.87,5.64
"Georgia : transportation","cents per kilowatthour","ELEC.PRICE.GA-TRA.A","--","--",4.81,5.12,5.90,6.12,6.42,7.15,7.03,7.46,7.94,7.65,8.03,6.98,5.27,5.05
"Georgia : other","cents per kilowatthour","ELEC.PRICE.GA-OTH.A",8.56,8.31,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland","cents per kilowatthour","ELEC.PRICE.MD-ALL.A",,,,,,,,,,,,,,,,
"Maryland : all sectors","cents per kilowatthour","ELEC.PRICE.MD-ALL.A",6.60,6.18,6.45,7.15,8.13,9.95,11.50,13.01,13.09,12.71,11.93,11.28,11.66,12.10,12.07,12.21
"Maryland : residential","cents per kilowatthour","ELEC.PRICE.MD-RES.A",7.67,7.74,7.73,7.80,8.46,9.71,11.89,13.84,14.98,14.32,13.31,12.84,13.25,13.63,13.82,14.23
"Maryland : commercial","cents per kilowatthour","ELEC.PRICE.MD-COM.A",6.36,6.31,6.95,7.56,8.97,10.56,11.58,12.77,11.98,11.75,11.28,10.43,10.68,11.15,11.00,10.98
"Maryland : industrial","cents per kilowatthour","ELEC.PRICE.MD-IND.A",4.37,4.01,4.89,5.99,7.01,8.14,9.41,10.38,9.96,9.58,8.76,8.09,8.36,9.04,8.53,7.84
"Maryland : transportation","cents per kilowatthour","ELEC.PRICE.MD-TRA.A","--","--",5.78,6.46,7.73,8.43,10.15,11.77,10.50,9.89,9.03,8.29,8.47,8.50,8.34,7.83
"Maryland : other","cents per kilowatthour","ELEC.PRICE.MD-OTH.A",9.42,9.42,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina","cents per kilowatthour","ELEC.PRICE.NC-ALL.A",,,,,,,,,,,,,,,,
"North Carolina : all sectors","cents per kilowatthour","ELEC.PRICE.NC-ALL.A",6.58,6.74,6.86,6.97,7.19,7.53,7.83,7.96,8.48,8.67,8.64,9.15,9.24,9.33,9.37,9.25
"North Carolina : residential","cents per kilowatthour","ELEC.PRICE.NC-RES.A",8.12,8.19,8.32,8.45,8.65,9.12,9.40,9.52,9.99,10.12,10.26,10.91,10.97,11.10,11.28,11.14
"North Carolina : commercial","cents per kilowatthour","ELEC.PRICE.NC-COM.A",6.42,6.51,6.65,6.70,6.86,7.17,7.43,7.55,7.98,8.16,8.13,8.66,8.76,8.75,8.73,8.65
"North Carolina : industrial","cents per kilowatthour","ELEC.PRICE.NC-IND.A",4.61,4.70,4.79,4.88,5.04,5.23,5.47,5.54,5.99,6.17,6.01,6.42,6.45,6.50,6.51,6.23
"North Carolina : transportation","cents per kilowatthour","ELEC.PRICE.NC-TRA.A","--","--","--","--",8.33,3.10,9.14,6.57,6.83,7.09,7.04,7.88,7.94,7.84,7.90,7.88
"North Carolina : other","cents per kilowatthour","ELEC.PRICE.NC-OTH.A",6.68,6.70,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina","cents per kilowatthour","ELEC.PRICE.SC-ALL.A",,,,,,,,,,,,,,,,
"South Carolina : all sectors","cents per kilowatthour","ELEC.PRICE.SC-ALL.A",5.77,5.83,6.08,6.22,6.72,6.98,7.18,7.85,8.42,8.49,8.80,9.10,9.24,9.67,9.58,9.64
"South Carolina : residential","cents per kilowatthour","ELEC.PRICE.SC-RES.A",7.69,7.72,8.01,8.12,8.67,9.03,9.19,9.89,10.44,10.50,11.05,11.77,11.99,12.45,12.57,12.44
"South Carolina : commercial","cents per kilowatthour","ELEC.PRICE.SC-COM.A",6.45,6.48,6.81,6.91,7.39,7.60,7.74,8.42,8.74,8.90,9.30,9.63,9.88,10.28,10.21,10.14
"South Carolina : industrial","cents per kilowatthour","ELEC.PRICE.SC-IND.A",3.86,3.85,4.00,4.13,4.55,4.71,4.83,5.37,5.79,5.74,5.94,6.02,6.01,6.29,6.05,6.00
"South Carolina : transportation","cents per kilowatthour","ELEC.PRICE.SC-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Carolina : other","cents per kilowatthour","ELEC.PRICE.SC-OTH.A",6.39,6.44,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Virginia","cents per kilowatthour","ELEC.PRICE.VA-ALL.A",,,,,,,,,,,,,,,,
"Virginia : all sectors","cents per kilowatthour","ELEC.PRICE.VA-ALL.A",6.18,6.23,6.27,6.43,6.64,6.86,7.12,8.00,8.93,8.69,8.84,9.07,8.96,9.17,9.31,9.16
"Virginia : residential","cents per kilowatthour","ELEC.PRICE.VA-RES.A",7.79,7.79,7.76,7.99,8.16,8.49,8.74,9.62,10.61,10.45,10.64,11.08,10.84,11.10,11.37,11.42
"Virginia : commercial","cents per kilowatthour","ELEC.PRICE.VA-COM.A",5.85,5.87,5.74,5.88,6.05,6.21,6.38,7.32,8.06,7.65,7.95,8.08,8.00,8.15,8.21,7.97
"Virginia : industrial","cents per kilowatthour","ELEC.PRICE.VA-IND.A",4.16,4.13,4.23,4.27,4.46,4.69,5.07,5.82,6.91,6.66,6.49,6.72,6.63,6.89,6.95,6.67
"Virginia : transportation","cents per kilowatthour","ELEC.PRICE.VA-TRA.A","--","--",5.46,6.25,6.81,6.81,6.73,7.80,8.42,7.70,8.24,8.51,8.17,8.24,8.11,7.76
"Virginia : other","cents per kilowatthour","ELEC.PRICE.VA-OTH.A",5.16,5.14,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Virginia","cents per kilowatthour","ELEC.PRICE.WV-ALL.A",,,,,,,,,,,,,,,,
"West Virginia : all sectors","cents per kilowatthour","ELEC.PRICE.WV-ALL.A",5.07,5.11,5.13,5.13,5.15,5.04,5.34,5.61,6.65,7.45,7.88,8.14,7.91,7.65,8.11,8.89
"West Virginia : residential","cents per kilowatthour","ELEC.PRICE.WV-RES.A",6.26,6.23,6.24,6.23,6.21,6.35,6.73,7.06,7.90,8.79,9.39,9.85,9.52,9.34,10.08,11.22
"West Virginia : commercial","cents per kilowatthour","ELEC.PRICE.WV-COM.A",5.44,5.41,5.45,5.46,5.53,5.59,5.85,6.08,6.77,7.66,8.14,8.42,8.17,7.99,8.61,9.34
"West Virginia : industrial","cents per kilowatthour","ELEC.PRICE.WV-IND.A",3.74,3.81,3.81,3.83,3.85,3.71,3.95,4.20,5.24,5.86,6.18,6.33,6.20,5.87,6.09,6.57
"West Virginia : transportation","cents per kilowatthour","ELEC.PRICE.WV-TRA.A","--","--","--",5.70,6.08,5.86,6.42,6.32,7.56,8.33,8.60,8.66,8.68,"--","--","--"
"West Virginia : other","cents per kilowatthour","ELEC.PRICE.WV-OTH.A",10.36,10.01,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"East South Central","cents per kilowatthour","ELEC.PRICE.ESC-ALL.A",,,,,,,,,,,,,,,,
"East South Central : all sectors","cents per kilowatthour","ELEC.PRICE.ESC-ALL.A",5.33,5.39,5.55,5.83,6.17,6.78,7.01,7.87,8.13,8.16,8.58,8.58,8.71,9.08,9.06,9.03
"East South Central : residential","cents per kilowatthour","ELEC.PRICE.ESC-RES.A",6.51,6.57,6.78,7.12,7.42,8.16,8.35,9.32,9.61,9.58,10.14,10.32,10.40,10.76,10.82,10.82
"East South Central : commercial","cents per kilowatthour","ELEC.PRICE.ESC-COM.A",6.25,6.33,6.52,6.89,7.19,7.90,8.07,9.07,9.26,9.34,9.80,9.87,9.81,10.34,10.24,10.10
"East South Central : industrial","cents per kilowatthour","ELEC.PRICE.ESC-IND.A",3.69,3.71,3.86,4.04,4.37,4.81,5.04,5.75,5.83,5.83,6.19,6.11,5.98,6.13,5.98,5.83
"East South Central : transportation","cents per kilowatthour","ELEC.PRICE.ESC-TRA.A","--","--","--",11.75,11.46,11.18,10.31,10.17,10.70,11.09,12.07,11.29,11.68,8.57,"--","--"
"East South Central : other","cents per kilowatthour","ELEC.PRICE.ESC-OTH.A",6.25,6.32,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama","cents per kilowatthour","ELEC.PRICE.AL-ALL.A",,,,,,,,,,,,,,,,
"Alabama : all sectors","cents per kilowatthour","ELEC.PRICE.AL-ALL.A",5.60,5.71,5.88,6.08,6.46,7.07,7.57,8.59,8.83,8.89,9.10,9.18,9.02,9.27,9.33,9.59
"Alabama : residential","cents per kilowatthour","ELEC.PRICE.AL-RES.A",7.01,7.12,7.39,7.62,8.00,8.75,9.32,10.40,10.66,10.67,11.09,11.40,11.26,11.48,11.70,12.04
"Alabama : commercial","cents per kilowatthour","ELEC.PRICE.AL-COM.A",6.53,6.63,6.85,7.12,7.50,8.18,8.70,9.87,10.05,10.18,10.47,10.63,10.51,10.79,10.83,11.12
"Alabama : industrial","cents per kilowatthour","ELEC.PRICE.AL-IND.A",3.79,3.82,3.98,4.15,4.52,4.90,5.27,6.11,5.96,6.01,6.25,6.22,5.95,6.15,6.03,6.08
"Alabama : transportation","cents per kilowatthour","ELEC.PRICE.AL-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama : other","cents per kilowatthour","ELEC.PRICE.AL-OTH.A",7.11,7.46,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky","cents per kilowatthour","ELEC.PRICE.KY-ALL.A",,,,,,,,,,,,,,,,
"Kentucky : all sectors","cents per kilowatthour","ELEC.PRICE.KY-ALL.A",4.24,4.26,4.42,4.63,5.01,5.43,5.84,6.26,6.52,6.73,7.17,7.26,7.69,8.15,8.14,8.26
"Kentucky : residential","cents per kilowatthour","ELEC.PRICE.KY-RES.A",5.58,5.65,5.81,6.11,6.57,7.02,7.34,7.94,8.37,8.57,9.20,9.43,9.79,10.16,10.24,10.29
"Kentucky : commercial","cents per kilowatthour","ELEC.PRICE.KY-COM.A",5.20,5.30,5.37,5.60,6.01,6.44,6.76,7.29,7.63,7.88,8.49,8.73,8.56,9.44,9.44,9.37
"Kentucky : industrial","cents per kilowatthour","ELEC.PRICE.KY-IND.A",3.04,3.09,3.21,3.34,3.60,4.05,4.47,4.82,4.92,5.05,5.33,5.35,5.66,5.68,5.48,5.49
"Kentucky : transportation","cents per kilowatthour","ELEC.PRICE.KY-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kentucky : other","cents per kilowatthour","ELEC.PRICE.KY-OTH.A",4.53,4.61,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi","cents per kilowatthour","ELEC.PRICE.MS-ALL.A",,,,,,,,,,,,,,,,
"Mississippi : all sectors","cents per kilowatthour","ELEC.PRICE.MS-ALL.A",6.26,6.24,6.46,7.00,7.54,8.33,8.03,8.99,8.85,8.59,8.78,8.60,9.11,9.60,9.53,8.72
"Mississippi : residential","cents per kilowatthour","ELEC.PRICE.MS-RES.A",7.37,7.28,7.60,8.21,8.71,9.66,9.36,10.39,10.22,9.87,10.17,10.26,10.78,11.32,11.27,10.54
"Mississippi : commercial","cents per kilowatthour","ELEC.PRICE.MS-COM.A",6.94,6.83,7.25,7.99,8.48,9.37,8.92,10.02,9.50,9.32,9.48,9.33,10.10,10.76,10.55,9.61
"Mississippi : industrial","cents per kilowatthour","ELEC.PRICE.MS-IND.A",4.40,4.40,4.48,4.83,5.37,5.94,5.75,6.56,6.61,6.32,6.53,6.24,6.34,6.60,6.56,5.91
"Mississippi : transportation","cents per kilowatthour","ELEC.PRICE.MS-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mississippi : other","cents per kilowatthour","ELEC.PRICE.MS-OTH.A",8.95,8.76,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tennessee","cents per kilowatthour","ELEC.PRICE.TN-ALL.A",,,,,,,,,,,,,,,,
