"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Oct 24 2017 21:59:13 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Massachusetts : industrial","cents per kilowatthour","ELEC.PRICE.MA-IND.A",9.37,8.34,8.93,8.48,9.22,13.04,13.03,14.14,14.07,13.71,13.38,12.57,13.18,12.74,13.54,13.11
"Massachusetts : transportation","cents per kilowatthour","ELEC.PRICE.MA-TRA.A","--","--",4.09,4.65,4.80,10.68,9.24,10.06,6.20,6.40,6.14,4.91,13.06,8.76,7.76,6.18
"Massachusetts : other","cents per kilowatthour","ELEC.PRICE.MA-OTH.A",15.52,13.11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire","cents per kilowatthour","ELEC.PRICE.NH-ALL.A",,,,,,,,,,,,,,,,
"New Hampshire : all sectors","cents per kilowatthour","ELEC.PRICE.NH-ALL.A",10.95,10.60,10.83,11.37,12.53,13.84,13.98,14.63,15.09,14.84,14.74,14.19,14.30,15.22,16.02,15.68
"New Hampshire : residential","cents per kilowatthour","ELEC.PRICE.NH-RES.A",12.49,11.89,11.98,12.49,13.51,14.68,14.88,15.68,16.39,16.32,16.52,16.07,16.33,17.53,18.50,18.43
"New Hampshire : commercial","cents per kilowatthour","ELEC.PRICE.NH-COM.A",10.53,10.06,10.30,10.99,12.06,14.07,13.91,14.30,14.36,14.25,14.04,13.36,13.52,14.34,14.96,14.44
"New Hampshire : industrial","cents per kilowatthour","ELEC.PRICE.NH-IND.A",9.11,9.09,9.75,10.01,11.48,11.62,12.27,13.13,13.73,12.76,12.27,11.83,11.40,11.93,12.74,12.35
"New Hampshire : transportation","cents per kilowatthour","ELEC.PRICE.NH-TRA.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Hampshire : other","cents per kilowatthour","ELEC.PRICE.NH-OTH.A",13.28,12.84,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rhode Island","cents per kilowatthour","ELEC.PRICE.RI-ALL.A",,,,,,,,,,,,,,,,
