,Median,StDev
CT,,
IC,,
WT,,
PV,,
OT,,
HY,,
GT,,
ST,,
CA,,
BT,,
DFO,,
NG,,
OOG,,
WOO,,
OTH,,
ORW,,
RFO,,
COL,,
MLG,,
PC,,
GEO,,
NUC,,
WWW,,
SUN,,
WOC,,
